Code ;WD;THK;LA.wp;SLA.wp;LP.mass;MAXHT;sprout
LEULEU;0.687443655;147.5111111;59.03898181;109.7780581;0.791670878;9;0.0114068441064639
LICBRI;0.562043713;148.6666667;34.84209848;146.8035856;0.962239564;25;0.0588235294117647
LICPAR;0.780449774;252.0888889;16.2295638;80.26022878;0.959012467;19;0.352769679300292
LOBPOR;0.5105;NA;47.986;149.112;NA;NA;NA
LONGLA;0.80414719;234.7948718;84.5287233;94.15122388;0.885539382;18;0.430939226519337
LONHEP;0.685125371;NA;192.71;144.06;NA;10;NA
LUDOCT;0.44490606;NA;24.51733333;209.5946667;NA;NA;NA
MACPOR;0.909860211;148.2666667;0.752757741;144.8458491;0.992201152;5;0
MAGPOR;0.625100991;258.8444444;79.69494271;100.5107411;0.945219618;15;0
MAGSPL;0.469333333;NA;109.2609091;106.7272727;NA;25;NA
MALFUC;0.581113762;NA;70.40733333;126.6053333;NA;5;NA
MAMAME;0.789289012;378.5555556;100.8260137;76.09275534;0.956123155;17;0
MANBID;0.839466604;268.0808081;150.4347989;93.17410025;0.930091126;12;0
MANIND;0.576040704;181.1555556;283.4946667;125.7686667;0.899720325;18;0
MARNOB;0.533196408;NA;76.37333333;156.216;NA;13;NA
MATDOM;0.735805517;260.8888889;33.7343887;71.79409939;0.880636631;28;0.0680272108843537
MAYELO;0.748879561;NA;27.24625;103.944375;NA;3;NA
MECLAT;0.687666667;NA;41.47;172.274;NA;5;0
MELHER;0.485808211;246.6944445;210.465627;158.1109369;0.943564686;20;0
MICGAR;NA;498.6444444;41.12332517;65.94702985;0.94837594;17;0
MICGUY;0.764370669;331.5755556;32.87008458;69.45061381;0.95281997;25;0.0181368507831822
MICIMP;0.758613667;213.5833333;210.3095;195.8715;1;4.5;0
MICLAE;0.483406458;NA;26.38;188.8626667;NA;3;0
MICMIR;0.595931942;248.1666667;34.34466667;123.8166667;0.905303176;12;0
MICPAC;0.687583333;NA;44.74133333;118.1053333;NA;NA;NA
MICPRA;0.661806593;168.6666667;58.25319992;156.3868944;0.936352174;9;0
MICRAC;0.437214564;169.030303;100.444;226.4932;0.922602095;10;0
MICSIN;0.436916667;NA;73.47866667;96.80666667;NA;NA;NA
MICTET;0.660691633;211.9494949;108.4375829;132.2611611;0.91958316;21;0
MIMPUD;0.622;NA;8.99;250.2;NA;5;NA
MIRGAR;0.716565853;NA;NA;NA;NA;NA;NA
