"","Code","WD","THK","LA.wp","SLA.wp","LP.mass","MAXHT","sprout","species","seed_mass"
"151","SLOBER",0.800125551,190.2751323,225.3026563,114.0951604,0.92277855,23,0.0111111111111111,"Sloanea berteriana",460
"152","SPACAM",0.335362879,195.5555556,610.5010117,236.6200677,0.758590643,5,0,"Spathodea campanulata",5
"153","SWIMAC",0.519537267,130.3636364,763.3712,242.5484,0.786303109,18,0,"Swietenia macrophylla",566
"154","SWIMAH",0.634753756,207.5555555,51.86028336,112.6847687,0.830600805,20,0,"Swietenia mahagoni",93.4
"155","SYMMAR",0.663532699,168.3611111,172.51425,148.15624,0.965737832,15,0,"Symplocos martinicensis",NA
"156","SYZJAM",0.637763796,266.2619048,40.11330919,88.58468594,0.957707746,18,0.0865384615384615,"Syzygium jambos",1340
"157","TABHET",0.786032932,337.3744856,145.135622,117.5806975,0.899007782,12,0.130952380952381,"Tabebuia heterophylla",10
"158","TABSCH",0.741305248,417.7555556,116.0440083,73.14735248,0.949726675,20,0,"Tabebuia schumanniana",14.73
"159","TAMIND",0.812380723,170.3777778,16.60643373,191.4504112,0.854554765,11,0,"Tamarindus indica",646
"160","TETBAL",0.551419671,169.7222222,604.2189239,127.196777,0.82215504,13,0,"Tetragastris balsamifera",NA
"161","TETELA",0.754444614,329.3518519,13.66108362,109.7905793,0.960337257,14,0,"Tetrazygia elaeagnoides",NA
"162","THOSTR",0.926572126,192.1712963,114.1399747,137.1655334,0.908050157,22,0.00561797752808989,"Thouinia striata",9.3324
"163","TRIPAL",0.697209801,207.9333333,99.1512521,180.7746615,0.906018593,9,0,"Trichilia pallida",43.0228
"164","TUROCC",0.508747642,216.9722222,205.5155703,125.7073321,0.891934734,27,0,"Turpinia occidentalis",40
"165","UREBAC",0.371734872,164,149.4788,629.5152,0.853387887,4,0,"Urera baccifera",NA
"166","VITDIV",0.651594803,179.6666667,114.0644933,133.3439053,0.91290868,29,0,"Vitex divaricata",NA
"167","ZANMAR",0.566025108,212.1111111,370.8468058,242.3988413,0.842265533,33,0,"Zanthoxylum martinicense",15.3504
"168","ZANMON",0.793975622,207.9333333,22.0499657,141.8967295,0.957734281,6,0,"Zanthoxylum monophyllum",NA
