PLANTS_Accepted_Name,SPCD,Symbol,Origin,Height_m,Height_max,Deciduous,Wood_Density,Myco_Group,Leaf_Thickness,Family,Nfixer,Seed_wt_avg_Kew_or_other_g_per_1000
Senna sulfurea,8599,SESU10,I,7,7,DE,No data,No data,No data,Fabaceae,no,27.93
Sideroxylon cubense,8611,SICU7,N,6,10.1,E,No data,AM,Subcoriaceous,Sapotaceae,no,
Sideroxylon foetidissimum,890,SIFO,N,15,18,E,0.895,AM,Subcoriaceous,Sapotaceae,no,
Sideroxylon obovatum,8613,SIOB,N,12,12.5,E,0.86,AM,Subcoriaceous,Sapotaceae,no,
Sideroxylon salicifolium,891,SISA6,N,15,18,E,0.867,AM,Subcoriaceous,Sapotaceae,no,69.6
Sloanea amygdalina,8623,SLAM,N,27,27,E,No data,AM,Coriaceous,Elaeocarpaceae,no,
Sloanea berteriana,8624,SLBE,N,30,30,E,0.775,AM,Chartaceous,Elaeocarpaceae,no,460
Solanum bahamense var. bahamense,8626,SOBAB,N,2,8.2,E,No data,AM + NM,No data,Solanaceae,no,
Solanum polygamum,8633,SOPO,N,4.5,4.6,E,No data,AM + NM,Subcoriaceous,Solanaceae,no,3.74186
Solanum rugosum,8634,SORU,N,4.5,7,E,No data,AM + NM,Chartaceous,Solanaceae,no,
Solanum torvum,8636,SOTO4,N,3,3,E,No data,AM + NM,Chartaceous,Solanaceae,no,1
Spathodea campanulata,8644,SPCA2,I,24,28.3,D,0.324,AM,Subcoriaceous,Bignoniaceae,no,5
Spondias dulcis,8649,SPDU3,I,12,12,D,0.314,No data,Chartaceous,Anacardiaceae,no,1710.280186
Spondias mombin,8650,SPMO,N,18,21,D,0.391,AM,Chartaceous,Anacardiaceae,no,2047
Spondias purpurea,8652,SPPU,I,9,14,D,0.33,AM,Chartaceous,Anacardiaceae,no,
Sterculia apetala,8664,STAP,I,15,15,E,0.392,AM,Coriaceous,Sterculiaceae,no,1898.5
Swietenia,8678,SWIET,I,18,13.4,DE,0.58,AM,Subcoriaceous,Meliaceae,no,
Swietenia macrophylla,8679,SWMA,I,18,25,D,0.52,AM,Subcoriaceous,Meliaceae,no,566
Swietenia mahagoni,940,SWMA2,I,18,38.1,DE,0.64,AM,Subcoriaceous,Meliaceae,no,93.4
Symplocos martinicensis,8684,SYMA,N,9,13.1,E,0.8,No data,Chartaceous to Subcoriaceous,Symplocaceae,no,
Symplocos micrantha,8685,SYMI3,N,9,9,E,No data,No data,Subcoriaceous,Symplocaceae,no,
Syzygium jambos,8701,SYJA,I,9,19.8,E,0.684,AM,Coriaceous,Myrtaceae,no,1340
Syzygium malaccense,8702,SYMA2,I,12,12,E,0.562,No data,Coriaceous,Myrtaceae,no,3027.8
Tabebuia haemantha,8712,TAHA,N,6,18,E,0.607,AM,Coriaceous,Bignoniaceae,no,14.065
Tabebuia heterophylla,8713,TAHE,N,18,23.5,DE,0.535,AM,Subcoriaceous,Bignoniaceae,no,10
Tabebuia rigida,8715,TARI,N,9,10.4,E,No data,AM,Coriaceous,Bignoniaceae,no,
Tabebuia schumanniana,8717,TASC2,N,12,12,E,0.9,AM,Coriaceous,Bignoniaceae,no,14.73
Tabernaemontana citrifolia,8720,TACI,N,7.5,8.8,E,No data,AM,Subcoriaceous,Apocynaceae,no,23.0989011
Tamarindus indica,897,TAIN2,I,12,12.2,E,0.978,AM,Chartaceous,Fabaceae,no,646
Tecoma stans,8743,TEST,N,7.5,7.5,E,0.516,AM,Chartaceous,Bignoniaceae,no,9
Terminalia catappa,8750,TECA,I,15,15.8,E,0.494,AM,Coriaceous,Combretaceae,no,2473
Ternstroemia stahlii,8766,TEST3,N,6,6,E,No data,No data,Coriaceous,Theaceae,no,
Tetragastris balsamifera,8768,TEBA,N,24,24,E,0.65,AM + NM,Subcoriaceous,Burseraceae,no,
Tetrazygia elaeagnoides,8781,TEEL,N,9,14.6,E,0.562,No data,Coriaceous,Melastomataceae,no,
Tetrazygia urbanii,8783,TEUR,N,10,10,E,No data,No data,Subcoriaceous,Melastomataceae,no,
Thespesia grandiflora,8786,THGR2,N,15,18,E,0.665,AM,Subcoriaceous,Malvaceae,no,253.81
Thespesia populnea,8787,THPO3,I,9,9,E,0.627,AM,Subcoriaceous,Malvaceae,no,125.6
Thouinia striata,8793,THST2,N,15,20.4,E,0.837,No data,Subcoriaceous,Sapindaceae,no,9.3324
Thouinia striata var. portoricensis,8794,THSTP,N,4.5,7.6,D,0.9,No data,Coriaceous,Sapindaceae,no,
Torralbasia cuneifolia,8816,TOCU,N,10.5,10.5,E,No data,No data,Coriaceous,Celastraceae,no,
Trema lamarckianum,8828,TRLA2,N,6,6,E,No data,No data,Coriaceous,Ulmaceae,no,3.76
Trema micranthum,8829,TRMI2,N,12,12,E,No data,AM,Subcoriaceous,Ulmaceae,no,
Trichilia hirta,8833,TRHI3,N,6,11.9,D,0.55,AM,Chartaceous,Meliaceae,no,51.4516
Trichilia pallida,8834,TRPA2,N,9,17.7,E,0.7,AM,Subcoriaceous,Meliaceae,no,43.0228
Triphasia trifolia,8842,TRTR7,I,3,4.6,E,No data,AM,Subcoriaceous,Rutaceae,no,
Triplaris cumingiana,8844,TRCU6,I,21,21,E,0.52,No data,Subcoriaceous,Polygonaceae,no,59
Turpinia occidentalis,8850,TUOC,N,9,22.3,E,0.335,No data,Chartaceous,Staphyleaceae,no,40
Urera baccifera,8853,URBA,N,4.5,5.8,E,0.165,AM + NM,Chartaceous,Urticaceae,no,
Urera caracasana,8854,URCA2,N,6,14.9,E,0.316,No data,Chartaceous,Urticaceae,no,
Vachellia anegadensis,6001,ACAN4,I,8,8,D,No data,AM + EM,Chartaceous,Fabaceae,yes,19.8263
Vachellia farnesiana,303,ACFA,I,3,13.7,D,0.53,AM + EM,Chartaceous,Fabaceae,yes,66.6
Vachellia macracantha,6008,ACMA,N,9,11.6,D,0.73,AM + EM,Chartaceous,Fabaceae,yes,292.2567
Vitex divaricata,8873,VIDI2,N,19.5,19.5,D,0.62,AM,Chartaceous,Verbenaceae,no,
Xylosma pachyphylla,8910,XYPA2,N,6,9.8,E,No data,AM,Coriaceous,Flacourtiaceae,no,
Xylosma schwaneckeana,8913,XYSC3,N,7.5,7.9,E,No data,No data,Coriaceous,Flacourtiaceae,no,
Zanthoxylum caribaeum,8924,ZACA3,N,18,18,E,0.76,AM,Subcoriaceous,Rutaceae,no,
Zanthoxylum flavum,8928,ZAFL,N,15,15,D,0.783,AM,Chartaceous,Rutaceae,no,25.15
Zanthoxylum martinicense,8931,ZAMA,N,19.5,29,E,0.581,AM,Chartaceous,Rutaceae,no,15.3504
Zanthoxylum monophyllum,8932,ZAMO,N,7.5,12.8,D,0.735,AM,Subcoriaceous,Rutaceae,no,
Ziziphus mauritiana,8939,ZIMA,I,12,13.4,E,0.618,AM,No data,Rhamnaceae,no,545
Ziziphus reticulata,8940,ZIRE,N,6,6,E,No data,AM,Coriaceous,Rhamnaceae,no,211.9696
Ziziphus taylorii,8943,ZITA,N,4.5,5.8,D,No data,AM,Subcoriaceous,Rhamnaceae,no,219.9632
