"","PLANTS_Accepted_Name","SPCD","Symbol","Origin","Height_m","Height_max","Deciduous","Wood_Density","Myco_Group","Leaf_Thickness","Family","Nfixer","Seed_wt_avg_Kew_or_other_g_per_1000"
"87","Crescentia cujete",6761,"CRCU","N",9,9,"DE","0.634","AM","Subcoriaceous","Bignoniaceae","no","26.5944"
"88","Crossopetalum rhacoma",6767,"CRRH","I",6,6.1,"DE","No data","AM","Subcoriaceous","Celastraceae","no","19.8744"
"89","Croton astroites",6773,"CRAS3","N",6,6,"E","No data","AM","Subcoriaceous","Euphorbiaceae","no",""
"90","Croton poecilanthus",6775,"CRPO4","N",12,18.9,"E","0.6","AM","Coriaceous","Euphorbiaceae","no",""
"91","Cupania americana",6790,"CUAM","N",15,22.6,"E","0.614","No data","Subcoriaceous","Sapindaceae","no","197.64"
"92","Cupania triquetra",6792,"CUTR","N",19.5,19.5,"E","No data","No data","Subcoriaceous","Sapindaceae","no",""
"93","Cyathea arborea",6835,"CYAR","N",9,13.4,"E","0.173","AM","Subcoriaceous","Cyatheaceae","no",""
"94","Cyrilla racemiflora",6862,"CYRA","N",15,18,"E","0.59","NM","Coriaceous","Cyrillaceae","no",""
"95","Dacryodes excelsa",6867,"DAEX","N",30,30,"E","0.467","AM + NM","Coriaceous","Burseraceae","no","1988.07"
"96","Daphnopsis americana",6871,"DAAM2","N",7.5,14.9,"E","No data","AM","Subcoriaceous","Thymelaeaceae","no",""
"97","Delonix regia",6883,"DERE","I",15,15,"D","0.537","No data","Chartaceous","Fabaceae","yes","408"
"98","Dendropanax arboreus",6888,"DEAR","N",12,20.1,"E","0.42","AM + NM","Chartaceous to Subcoriaceous","Araliaceae","no","8"
"99","Dracaena fragrans",6932,"DRFR2","I",9,9,"E","No data","AM","Subcoriaceous","Agavaceae","no","178.2894737"
"100","Drypetes glauca",6938,"DRGL2","N",9,17.4,"E","0.673","AM + NM","Subcoriaceous","Euphorbiaceae","no",""
"101","Erithalis fruticosa",7000,"ERFR4","N",2,9.8,"E","No data","AM","Subcoriaceous","Rubiaceae","no",""
"102","Erythrina poeppigiana",7011,"ERPO5","I",21,29.9,"D","0.294","AM","Chartaceous","Fabaceae","yes","245"
"103","Erythroxylum areolatum",7019,"ERAR17","N",6,8.2,"D","No data","NM","Chartaceous","Erythroxylaceae","no",""
"104","Erythroxylum rotundifolium",7021,"ERRO3","N",7.5,8.8,"D","0.832","NM","Chartaceous","Erythroxylaceae","no","20.5465"
"105","Erythroxylum rufum",7022,"ERRU4","N",6,6,"E","No data","NM","Subcoriaceous","Erythroxylaceae","no",""
"106","Eucalyptus robusta",514,"EURO2","I",27,32.3,"E","0.64","AM + EM","Coriaceous","Myrtaceae","no","3.15"
"107","Eugenia biflora",7061,"EUBI","N",9,15.2,"E","0.8","AM","Subcoriaceous","Myrtaceae","no","97.92"
"108","Eugenia borinquensis",7063,"EUBO4","N",7.5,15.5,"E","0.647","AM","Coriaceous","Myrtaceae","no",""
"109","Eugenia confusa",7066,"EUCO4","N",6,11,"E","0.81","AM","Subcoriaceous","Myrtaceae","no",""
"110","Eugenia domingensis",7071,"EUDO","N",18,18,"E","0.59","AM","Subcoriaceous","Myrtaceae","no","25.87"
"111","Eugenia ligustrina",7081,"EULI","N",2.5,7.9,"E","0.981","AM","Subcoriaceous","Myrtaceae","no",""
"112","Eugenia monticola",7084,"EUMO","N",15,15,"E","0.697","AM","Subcoriaceous","Myrtaceae","no",""
"113","Eugenia pseudopsidium",7090,"EUPS","N",1,9.1,"E","0.868","AM","Subcoriaceous","Myrtaceae","no",""
"114","Eugenia rhombea",873,"EURH","N",7.5,12.2,"E","0.689","AM","Subcoriaceous","Myrtaceae","no",""
"115","Eugenia stahlii",7098,"EUST3","N",18,20.1,"E","0.73","AM","Coriaceous","Myrtaceae","no",""
"116","Eugenia xerophytica",7105,"EUXE","N",4.5,5.8,"E","No data","AM","Subcoriaceous","Myrtaceae","no",""
"117","Exostema caribaeum",7135,"EXCA","N",7.5,13.4,"E","0.937","AM","Subcoriaceous","Rubiaceae","no",""
"118","Exothea paniculata",874,"EXPA","N",14,22.9,"E","0.73","No data","Chartaceous","Sapindaceae","no",""
