CN,TRE_CN,THRESHOLD_TYPE,PLT_CN,STATECD,DIA,DIAHTCD,TREE_SIZE,TREECLCD,SUBPTYP,HT,ACTUALHT,VOLCFSND,VOLCFNET,VOLCSNET,VOLBFNET,REGIONAL_DRYBIOT,REGIONAL_DRYBIOM,REGIONAL_DRYBIOSL,DRYBIO_BG,DRYBIO_AG,DRYBIO_WDLD_SPP,DRYBIO_SAPLING,DRYBIO_STUMP,DRYBIO_BOLE,DRYBIO_SAWLOG,DRYBIO_TOP,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,VOLBSNET
619085724126144,249698685010854,SUBPLOT,249604194010854,72,5.0,1,SMALL,3,1.0,,,1.61007,1.61007,,,,,,19.85010757496364,98.28382926204704,,,8.174032063466365,60.315983792064,,29.79381340651667,FSJASONMEADE,2019-03-06 12:02:08,126144,JTURNER02,2019-03-08 08:30:41,126144,
619085725126144,249698879010854,SUBPLOT,249604194010854,72,5.0,1,SMALL,3,1.0,,,1.04874,1.04874,,,,,,12.929625307078181,64.01844832850696,,,5.324261917953701,39.287599198848,,19.40658721170526,FSJASONMEADE,2019-03-06 12:02:08,126144,JTURNER02,2019-03-08 08:30:41,126144,
619085726126144,249698733010854,SUBPLOT,249604194010854,72,5.0,1,SMALL,2,1.0,,,0.47976293323058494,0.47976293323058494,,,,,,5.9148644686921745,29.28626594861943,,,2.435669007614249,17.97274236820079,,8.87785457280439,FSJASONMEADE,2019-03-06 12:02:08,126144,JTURNER02,2019-03-08 08:30:41,126144,
619085730126144,249698883010854,SUBPLOT,249604197010854,72,5.0,1,SMALL,3,1.0,,,0.5222159260674064,0.5222159260674064,,,,,,6.438255671987725,31.877732592701403,,,2.651195118055588,19.563104295241434,,9.66343317940438,FSJASONMEADE,2019-03-06 12:02:08,126144,JTURNER02,2019-03-08 08:30:41,126144,
619085731126144,249700223010854,SUBPLOT,249604197010854,72,5.0,1,SMALL,2,1.0,,,1.719794742117172,1.719794742117172,,,,,,21.20287356318838,104.98177892887287,,,8.731084589270424,64.42646083165094,,31.8242335079515,FSJASONMEADE,2019-03-06 12:02:08,126144,JTURNER02,2019-03-08 08:30:41,126144,
619085732126144,249698885010854,SUBPLOT,249604197010854,72,5.0,1,SMALL,3,1.0,,,0.393382,0.393382,,,,,,4.8498978417425,24.013297137865177,,,1.9971287466945695,14.7367644488064,,7.279403942364208,FSJASONMEADE,2019-03-06 12:02:08,126144,JTURNER02,2019-03-08 08:30:41,126144,
619085733126144,249698753010854,MICROPLOT,249604197010854,72,1.0,1,SAPLING,3,2.0,,,,,,,3.3498167503701612,,,0.3992174658785388,1.3020984815014542,,1.3020984815014542,,,,,FSJASONMEADE,2019-03-06 12:02:08,126144,FSJASONMEADE,2019-03-06 12:02:08,126144,
619085734126144,249699395010854,MICROPLOT,249604197010854,72,1.0,1,SAPLING,3,2.0,,,,,,,2.709920420172004,,,0.3992174658785388,1.3020984815014542,,1.3020984815014542,,,,,FSJASONMEADE,2019-03-06 12:02:08,126144,FSJASONMEADE,2019-03-06 12:02:08,126144,
619085735126144,249699724010854,SUBPLOT,249604197010854,72,5.0,1,SMALL,3,1.0,,,0.8701686912157721,0.8701686912157721,,,,,,10.728069046065324,53.117883742091884,,,4.417687915818743,32.598011686282,,16.10218413999114,FSJASONMEADE,2019-03-06 12:02:08,126144,JTURNER02,2019-03-08 08:30:41,126144,
619085736126144,249698116010854,SUBPLOT,249604197010854,72,5.0,1,SMALL,3,1.0,,,1.160841665539297,1.160841665539297,,,,,,14.31169572655537,70.86149301343083,,,5.893381650938103,43.4871198667268,,21.480991495765927,FSJASONMEADE,2019-03-06 12:02:08,126144,JTURNER02,2019-03-08 08:30:41,126144,
