"","Code","D_51","D_71","D_91","D_00"
"65","CHRCAI",1276.12624775905,1197.15607570904,1168.7331580163,1124.57459745007
"66","CHRICA",1689.23537849458,1423.19001307893,1472.23843317984,1420.26259290379
"67","CHROLI",1578.19078828369,1324.53931788634,1289.66829088846,1317.58289518673
"68","CHRPAU",1501.15865664957,1361.11833496759,1320.44799030891,1305.37754330338
"69","CINELO",1291.64136440913,1199.41659079403,1137.64726752409,1085.63154348143
"70","CINMON",1345.78544782959,1219.06911748373,1149.24583464185,1117.61396455364
"71","CITCAU",1301.81342284588,1158.54938909618,1067.00966470043,1003.86220128023
"72","CITSIN",1265.17141541366,1200.2651664567,1228.2774121213,1127.6256221209
"73","CITSPI",1358.76514918524,1204.77498030838,1148.62214627895,1141.00250864617
"74","CLIEGG",1327.37085603057,1222.63744520911,1159.33161158022,1092.48878952538
"75","CLIERO",1685.61653389526,2092.94777231509,2172.0594115884,1848.22059665829
"76","CLIHIR",1346.03300474017,1216.37549715951,1209.45659408139,1161.02865749902
"77","CLUCLU",1798.0081684389,1621.07785248815,1483.96473292672,1482.99407564881
"78","CLUGUN",1313.21617879412,1281.34403427184,1120.01108153946,1049.04285501332
"79","CLUMIN",1477.82520918413,1386.98326551301,1318.35029956607,1312.3834494273
"80","CLUROS",1501.77483392865,1631.84046459957,1482.01890662368,1545.82130329
"81","COCCOS",1205.58005538684,1539.2730542055,1578.34857371218,1502.95770065597
"82","COCDIV",1556.29385245554,1509.41787337443,1503.12619158298,1469.39347796867
"83","COCKRU",1895.47592283724,1529.0107587309,1609.26603127337,1616.11011636614
"84","COCMIC",1654.57419268141,1393.18670960984,1455.48676354681,1318.08291300614
"85","COCPUB",1434.56347139906,1387.02218391889,1328.27050069579,1315.24157354172
"86","COCPYR",1314.2173784828,1440.69055506584,1680.211708184,1247.11455194799
"87","COCRUG",1511.56414014902,1360.91740902951,1234.77816247623,1215.24021765185
"88","COCSIN",1879.33891053381,1684.53059410968,4053.24573341001,2045.09494777825
"89","COCSWA",1342.4889719391,1267.25889201771,1223.95601793868,1119.06528212145
"90","COCUVI",1276.12624775905,1197.15607570904,1168.7331580163,1124.57459745007
"91","COCVEN",1422.4121420216,1288.55344353803,1211.7235223565,1185.65213187135
"92","COFARA",1309.21140922132,1254.93161537438,1184.44686345754,1107.37741777635
"93","COJARB",1533.94151744084,1510.49520613067,1515.30202739826,1502.9821462002
"94","COLARB",1461.64134064373,1493.45712657068,1516.59588321105,1446.83015940848
"95","COLELL",1594.97298658451,1267.3265282384,1427.30202009478,1258.38639993677
"96","COLVER",1490.36706950321,1310.81655009556,1268.49743685756,1229.18672215742
"97","COMDOD",1849.14716526226,1380.36295742859,1604.88172221969,1477.12968776108
"98","COMGLA",1042.43700322657,1292.62054018829,1222.86070460408,1194.19316287038
