"sp","total_hab_raw","fcover_51_raw","fcover_77_raw","fcover_91_raw","fcover_00_raw","tot_change_raw","total_hab","fcover_51","fcover_77","fcover_91","fcover_00","tot_change"
"CLIERO",4333.39193117846,1072.30197806939,1896.86435001704,2946.5567641485,2754.96535147671,1682.66337340733,1529,903,1119,1328,1265,362
"CLIHIR",26956.4987639487,3758.04661759734,7922.52098876238,11706.0115364492,11615.1404133439,7857.09379574656,34416,3962,9129,14787,14459,10497
"CLUCLU",14903.7931927815,2169.20603352319,4999.09055394493,8572.34850235563,8198.26559923496,6029.05956571177,4965,1075,1951,3135,2965,1890
"CLUGUN",15919.1276939753,2951.74481894355,6013.70319851674,9131.7028718926,8869.61603661347,5917.87121766992,10347,2233,4460,7228,6680,4447
"CLUMIN",27075.6195043921,4331.92212694883,8587.98978793621,11775.1415994167,11843.410618782,7511.48849183321,42833,6853,13586,18628,18736,11883
"CLUROS",26965.1457098424,4253.74958080053,8489.35130476952,11347.5372743011,11457.5324236453,7203.78284284472,13640,2109,4018,3495,3759,1650
"COCCOS",11221.4401737894,2597.98233982548,4615.91077328427,4956.03148812475,5191.77679885831,2593.79445903283,9683,2481,4423,4496,4759,2278
"COCDIV",15253.7075442523,2935.84198362194,5048.05021416955,5171.04601159878,5594.93447723426,2659.09249361232,17817,3328,5324,4433,5106,1778
"COCKRU",1899.35904748568,358.81232791856,544.895779915918,402.473426577323,483.248780108881,124.436452190321,2994,551,837,591,732,181
"COCMIC",17894.6353577152,2941.98128117993,5458.50168696791,7033.26095014066,7349.41751876473,4407.4362375848,8263,1474,2561,2554,2851,1377
"COCPUB",13774.8298894335,2999.30686000129,5520.94393754099,7008.14615591243,7182.79901310289,4183.4921531016,4546,1590,2551,2280,2576,986
"COCPYR",20623.8676535562,3611.39822500944,7082.29710386693,9950.30815792084,9802.85773392022,6191.45950891078,17342,3949,7352,10172,9674,5725
"COCRUG",15708.4696389809,2039.89433884528,5081.24391028192,8841.11073913937,8448.29819935374,6408.40386050846,11005,1367,3900,5385,4887,3520
"COCSIN",13532.5113136768,2372.46777677536,4409.19503855705,5668.75164330006,5765.36108231544,3392.89330554008,559,335,414,433,441,106
"COCSWA",16274.128225781,2901.87204588205,5829.44066044688,8484.14905422926,8271.77226749808,5369.90022161603,12038,2304,5006,8126,7666,5362
"COCUVI",24412.3349382691,3881.99097276106,7710.3116222024,10258.2273759432,10397.6706283055,6515.67965554446,37211,5927,11764,15608,15827,9900
"COCVEN",15383.2812792056,2356.42638151947,4726.6539345386,5281.62904600461,5608.41837817803,3251.99199665856,20754,3381,6358,6152,6758,3377
"COFARA",25863.7726786584,4201.98675056547,8463.955200091,11958.1509865597,11886.2577479705,7684.27099740505,23398,3407,7904,13552,12972,9565
"COJARB",19067.0596484728,3430.24660081603,6104.82471712865,6940.64008141682,7275.38452028297,3845.13791946694,17914,3656,5716,4796,5449,1793
"COLARB",19873.9327788986,3443.00985902362,6401.17469095811,7827.91870126873,8162.44725999422,4719.43740097061,12921,2864,4602,3868,4464,1600
"COLELL",4356.25555905331,576.55361409526,1069.18636547983,865.81938608576,1073.66022843599,497.106614340727,3888,561,885,551,725,164
"COLVER",14413.6187154513,2376.04806741979,4959.4628963971,7690.68189546955,7740.74754785025,5364.69948043046,5030,753,1661,1648,1967,1214
"COMDOD",10741.8683592044,1556.41821939126,3145.59738064092,3755.48240265064,4021.24003057182,2464.82181118056,7766,1143,2230,2554,2779,1636
"COMGLA",24755.8009038568,4192.83537530154,8284.86397776008,10781.4072370753,10796.5043833479,6603.66900804639,15209,3244,5968,5962,5944,2700
"CONERE",18010.115175847,2599.01337462617,5138.66333733685,6553.46421423089,6844.00309570786,4244.98972108169,27098,3844,7711,8966,9778,5934
"CORALL",27075.6195043921,4331.92212694883,8587.98978793621,11775.1415994167,11843.410618782,7511.48849183321,42833,6853,13586,18628,18736,11883
"CORBOR",18554.5704939235,3099.65046337619,6566.0015048869,9894.38826238364,9554.59515605494,6454.94469267875,13893,2606,5668,9487,8824,6218
"CORCOL",17612.3768781863,1875.9004950571,4646.39252879138,7386.1346740986,7553.06625474583,5677.16575968874,22735,1887,5355,9018,9202,7315
"CORHIR",17385.5388584531,2237.77914336423,4562.37281894806,5796.70077546086,6148.21588064876,3910.43673728453,24479,2681,5922,7943,8581,5900
"CORLAE",27317.3544141948,4145.90262237936,8252.13603823632,11118.2907001451,11259.667094633,7113.76447225362,31943,4377,9079,11447,12091,7714
"COROBO",24273.3607904874,3861.13699470833,7667.86081792414,10196.1980156638,10335.6761742495,6474.53917954117,37211,5927,11764,15608,15827,9900
"CORRIC",19017.5660617153,2554.25262798675,5185.15877008349,6669.05613523947,7049.61293682006,4495.3603088333,17799,2003,3939,4952,5522,3519
"CORSUL",22261.9964008443,3374.3376772888,7036.69253742509,9965.78977599367,9817.95502696931,6443.61734968051,21285,2795,6522,9499,9068,6273
"CRECUJ",21465.4555234332,3022.79703162797,6038.93659155816,7812.00365373679,8148.18962726183,5125.39259563386,11757,1326,2284,2982,3304,1978
"CRELIN",7669.85509319267,921.274334452658,1703.25474457201,1686.06633525418,1914.91652291725,993.642188464592,7629,855,1568,1549,1810,955
"CREPOR",16193.1186418496,2088.91660649702,4420.53820472956,6716.15943579003,6633.31276401132,4544.3961575143,10487,1147,1722,1449,1676,529
"CRIPOR",24238.7545570135,4043.62002929673,7898.70842349157,10483.9955716394,10616.7514215745,6573.13139227778,27628,5188,10583,14730,14747,9559
"CROAST",6014.57687654826,626.891567754551,1785.02802030282,2463.57676287619,2628.35190137632,2001.46033362177,1991,144,482,368,537,393
"CROBET",17142.6013789418,2395.66829106899,4679.10455439554,5759.21563012607,6164.5964168486,3768.92812577961,12616,1407,2575,3277,3696,2289
"CRODIS",10342.0076071867,1392.84888715902,2778.61526503065,3633.04353667446,3883.83203812037,2490.98315096134,5124,711,1235,907,1135,424
