"","CODE","Species","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","tpa_2004","tpa_2008","tpa_2009","tpa_2013","tpa_2014","tpa_2019","D_51","D_91","D_00","D_77"
"77","CSSGUI","Cassipourea guianensis",3913,8059,10871,10321,6408,NA,NA,0.0316387773146524,NA,0.67863139410515,0.738544385370785,1335.48642528259,1167.94780737869,1106.64193995503,1213.49650335666
"78","CUPAME","Cupania americana",3880,8071,11789,11859,7979,3.72596041885737,NA,4.98339888264224,NA,4.00913866943157,4.49292827137791,1336.77843174026,1149.04182110889,1132.98196832647,1200.00514333102
"79","CYAARB","Cyathea arborea",2569,5872,9975,9320,6751,2.74765929301258,NA,6.55669659509387,NA,5.83919309132109,2.69050571887251,1309.0345161511,1144.2131971432,1073.77306043816,1233.33166077367
"80","CYRRAC","Cyrilla racemiflora",718,799,837,815,97,0.137730223338536,NA,0.0271622021158041,NA,0.0272548719243315,0.0296615737937593,1866.72684302854,5857.62356860136,2008.71996460092,3326.3062355367
"81","DACEXC","Dacryodes excelsa",2059,4244,6836,6191,4132,0.673425129287871,NA,1.14420580538688,NA,1.15092587717855,1.09417033184182,1363.65365232398,1069.43133998557,1042.27384348403,1233.98524691846
"82","DAPAME","Daphnopsis americana",1152,2213,3803,3423,2271,0.0332386969961233,NA,1.63526607360097,NA,1.5785393182139,1.70879957210639,1262.56457985696,1219.12531103251,1148.7373120516,1380.12102691898
"83","DAPPHI","Daphnopsis philippiana",2420,4668,8031,7372,4952,0.342872593275385,NA,0.338179924908343,NA,0.339315697052575,NA,1319.47682596517,1238.9260926808,1132.10123769488,1290.00546400706
"84","DELREG","Delonix regia",3763,8176,12719,12506,8743,0.124007482282263,NA,0.852725151610668,NA,1.97353534950749,2.05179039062515,1343.37666475396,1223.14276611307,1187.68834960472,1235.98347092424
"85","DENARB","Dendropanax arboreus",4437,8583,13929,13393,8956,8.20034259055233,NA,9.04711781541694,NA,9.9497478359282,8.42294278858191,1244.74570475247,1128.10323860027,1080.08476449904,1206.36911722907
"86","DITMYR","Ditta myricoides",794,1148,1464,1264,470,0.68574518655077,NA,0.676359849816685,NA,0.705886266029481,NA,1707.39362870317,1454.20921580328,1369.08796986816,1345.84840273348
"87","DRYALB","Drypetes alba",3253,5587,6020,6336,3083,2.74298074620308,NA,NA,NA,NA,NA,1366.23716198214,1339.11065216367,1337.97667680917,1374.22304058572
"88","DRYGLA","Drypetes glauca",1501,2151,2581,2399,898,0.425510727278506,NA,0.338179924908343,NA,0.0272548719243315,0.0296615737937593,1345.4978436411,1287.27641219249,1263.77502183197,1443.63570981793
"89","ERIFRU","Erithalis fruticosa",1727,2893,2311,2743,1016,1.37149037310154,NA,0.676359849816685,NA,0.708563373482379,0.0318265901782327,1723.02555392102,1569.27016322543,1491.52800913431,1557.25449800699
"90","ERYARE","Erythroxylum areolatum",678,1127,718,953,275,NA,0.462926615384615,0.788232547085257,NA,2.23352328584869,2.41520442824486,1600.70501650251,1427.63700212899,1223.95322015882,1322.9515969682
