"sp","sum","sum.1","sum.2","sum.3","sum.4","sum.5","sum.6","sum.7","sum.8","sum.9","sum.10","sum.11","tpa2004","tpa2009","tpa2014","tpa2019","tpa_gs_2004","tpa_gs_2009","tpa_gs_2014","tpa_gs_2019","tpa_diam2_2004","tpa_diam2_2009","tpa_diam2_2014","tpa_diam2_2019","tpa_seedlings_2004","tpa_seedlings_2009","tpa_seedlings_2014","tpa_seedlings_2019","nPlots2004","nPlots2009","nPlots2014","nPlots2019"
"RANACU",25751.6281987466,3482.97181456909,7535.01957030222,9658.8395650126,9902.42681536078,6419.4550007917,22700,2972,6187,5478,6187,3215,3.69351880487236,4.6253337421563,3.30708467682471,5.1879736149678,NA,NA,NA,NA,NA,NA,NA,0.771923148896948,NA,NA,NA,23.271343319192,6,8,8,8
"RAUNIT",20967.7419278617,2560.38224970191,6307.80026077071,8461.13061036089,8637.03420148545,6076.65195178353,16034,1415,4923,5834,6161,4746,0.354629102093461,NA,NA,NA,NA,NA,NA,NA,0.354629102093461,NA,NA,NA,2.83703283093942,NA,NA,NA,1,NA,NA,NA
"RAVURB",4886.08839797597,801.155142720332,1786.45954025334,2278.63161608534,2004.81541515945,1203.66027243912,1999,615,1072,1447,1200,585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REYKRU",17594.7380928006,3298.54943043925,6680.13810490072,9395.0245287884,9310.7909009289,6012.24147048965,12970,3464,5870,6467,6708,3244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REYUNC",4342.72246876267,610.850884151988,1010.41310546758,760.57645895261,938.912068776776,328.061184624788,5292,721,1227,828,1069,348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REYVIV",3950.20227143599,1209.64665453037,1944.98635298252,1658.51956230123,1846.02882489358,636.382170363213,1232,353,507,358,404,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RHIMAN",23992.5818274068,2640.68960812688,6082.00120294746,8698.06110373605,8890.42937886063,6249.73977073375,22057,1504,3959,5975,6278,4774,0.497081856823984,1.49081120877054,2.46393435610383,5.46999204967068,NA,0.0282342332482215,NA,NA,0.142452754730523,0.0847026997446644,NA,0.0665300073920401,64.3018028105358,NA,1.40796249389757,32.1886808782829,2,1,1,2
"ROCACA",9011.17420689017,1035.24403673969,2631.00803030934,2804.96025822032,3179.63589977007,2144.39186303038,5144,617,1418,914,1256,639,NA,1.40610850902587,1.40796248920219,1.5438462977939,NA,NA,NA,NA,NA,0.703054254512936,1.05597186690164,1.5438462977939,NA,46.2164971989504,0.351990622300547,2.37259383421859,NA,1,1,1
"RONINE",23597.5288998336,3534.09100233018,7132.73237089813,9382.03222236782,9614.84280733019,6080.75180500001,19063,3540,5961,6844,7227,3687,0.709258204186922,1.75763563628234,3.87189684530601,3.85961574448474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,4,3
"RONPOR",8033.62446341047,1584.96391230752,3178.61228189641,5222.9325984699,4904.52610069246,3319.56218838494,11959,2453,5058,8288,7759,5306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
