"","SCIENTIFIC_NAME","CODE","D_51","D_91","D_00"
"129","Mangifera indica","MANIND",1496.03235711797,1125.84453044023,NA
"130","Margaritaria nobilis","MARNOB",1359.35475808611,1137.15200804583,NA
"131","Matayba domingensis","MATDOM",1269.03044060097,1114.9842323681,NA
"132","Maytenus elongata","MAYELO",1340.17250745256,1220.41031981897,NA
"133","Maytenus laevigata","MAYLAE",1550.21564599659,1359.97088940289,NA
"134","Maytenus ponceana","MAYPON",1256.54901239091,1266.93019633437,NA
"135","Melicoccus bijugatus","MELBIJ",1454.1999785674,1298.68707179008,NA
"136","Meliosma herbertii","MELHER",1342.98514735932,1145.25115278298,NA
"137","Micropholis garciniifolia","MICGAR",1765.40284660674,1092.449253938,NA
"138","Micropholis guyanensis","MICGUY",1251.87198935164,1092.64562696827,NA
"139","Miconia impetiolaris","MICIMP",1460.11492593174,1206.23294371802,NA
"140","Miconia laevigata","MICLAE",1281.6170966822,1140.84531085474,NA
"141","Miconia prasina","MICPRA",1399.15542422625,1206.82012070981,NA
"142","Miconia racemosa","MICRAC",1340.72644153142,1114.45616666029,NA
"143","Miconia serrulata","MICSER",1334.84385510681,1254.16659499919,NA
"144","Miconia sintenisii","MICSIN",1212.3899557272,1076.88574925742,NA
"145","Miconia tetrandra","MICTET",1431.5400288861,1139.54942863858,NA
"146","Myrcia citrifolia","MYRCIT",1487.87955009933,1402.53967856308,NA
"147","Myrsine coriacea","MYRCOR",1288.9845620686,1161.86730424817,NA
"148","Myrcia deflexa","MYRDEF",1403.47835791757,1186.17612066877,NA
"149","Myrciaria floribunda","MYRFLO",4616.84236177389,2719.88699505159,NA
"150","Nectandra coriacea","NECCOR",1314.70303634161,1179.29459093354,NA
"151","Neolaugeria resinosa","NEORES",1486.89535844975,1392.82727358769,NA
"152","Ochroma pyramidale","OCHPYR",1337.22594177471,1137.47794911842,NA
"153","Ocotea floribunda","OCOFLO",1263.67110743946,1143.90517513119,NA
"154","Ocotea leucoxylon","OCOLEU",1304.08617518679,1134.22977130725,NA
"155","Ocotea wrightii","OCOWRI",1499.66030948836,1389.04733067336,NA
"156","Ormosia krugii","ORMKRU",1387.05070404999,1106.53004386298,NA
"157","Palicourea crocea","PALCRO",1399.07212952335,1248.87168219388,NA
"158","Parathesis crenulata","PARCRE",1756.74601212645,1458.99961941226,NA
"159","Persea americana","PERAME",1282.04554322175,1172.98374060036,NA
"160","Petitia domingensis","PETDOM",1326.68699330012,1168.85970681708,NA
"161","Pictetia aculeata","PICACU",1458.37845960297,1222.62427730275,NA
"162","Picramnia pentandra","PICPEN",1348.2208046423,1175.26607787074,NA
"163","Pimenta racemosa","PIMRAC",1493.61599655747,1256.39299006681,NA
"164","Pinus caribaea","PINCAR",1345.79687016458,1142.79277596251,NA
"165","Piper aduncum","PIPADU",1265.16094850575,1108.57378620643,NA
"166","Piper blattarum","PIPBLA",1366.43324173998,1173.5728032813,NA
"167","Pisonia albida","PISALB",1497.16420256986,1312.79458297525,NA
"168","Piscidia carthagenensis","PISCAR",1670.57685831253,1346.09293794038,NA
"169","Pisonia subcordata","PISSUB",1263.67110743946,1143.90517513119,NA
"170","Pithecellobium dulce","PITDUL",1638.65255138229,1499.9500613433,NA
"171","Pithecellobium unguis-cati","PITUNG",1423.5227682785,1371.93993147823,NA
"172","Plumeria alba","PLUALB",1439.15871280079,1231.70428982057,NA
"173","Plumeria obtusa","PLUOBT",1297.60472788339,2046.58199427858,NA
"174","Poitea florida","POIFLO",1418.13498110436,1283.29411101792,NA
"175","Pouteria multiflora","POUMUL",1266.46038699499,1168.49898535883,NA
"176","Prosopis pallida","PROPAL",1628.63602262038,1476.392662706,NA
"177","Prunus myrtifolia","PRUMYR",1336.1776666136,1255.71593719958,NA
"178","Pseudolmedia spuria","PSESPU",1116.35646180821,1213.63302683157,NA
"179","Psidium guajava","PSIGUA",1357.34882255013,1130.5202488262,NA
"180","Psychotria berteriana","PSYBER",1314.66542674401,1070.15228740271,NA
"181","Psychotria grandis","PSYGRA",1309.57257230927,1110.26599663253,NA
"182","Quararibea turbinata","QUATUR",1401.08045768573,1190.74395912901,NA
"183","Randia aculeata","RANACU",1419.46576872114,1295.24072160206,NA
"184","Rhizophora mangle","RHIMAN",1763.63592437922,1369.03246573005,NA
"185","Rochefortia acanthophora","ROCACA",1597.4912522311,1304.59213685129,NA
"186","Roystonea borinquena","ROYBOR",1363.65614976318,1132.10495973735,NA
"187","Samyda dodecandra","SAMDOD",1384.72359231381,1253.99943992186,NA
"188","Samanea saman","SAMSAM",1542.31293223868,1273.94481467939,NA
"189","Sapium laurocerasus","SAPLAU",1297.27139181337,1132.07695140198,NA
"190","Schaefferia frutescens","SCHFRU",1352.22221118546,1271.42868403236,NA
"191","Schefflera morototonii","SCHMOR",1361.57574975082,1123.34775225969,NA
"192","Schoepfia obovata","SCHOBO",1390.52094223767,1411.49600919105,NA
"193","Senna siamea","SENSIA",1273.28271187715,1159.88551966901,NA
"194","Sideroxylon cubense","SIDCUB",1710.31064814269,1517.7770783148,NA
"195","Sideroxylon foetidissimum","SIDFOE",1533.81023862147,1508.40814689365,NA
"196","Sideroxylon obovatum","SIDOBO",1609.40932201304,1686.29611012654,NA
"197","Sideroxylon salicifolium","SIDSAL",1553.38130385004,1515.44549069205,NA
"198","Sloanea amygdalina","SLOAMY",1390.52094223767,1411.49600919105,NA
"199","Sloanea berteriana","SLOBER",1194.87429634657,1088.64871080022,NA
"200","Spathodea campanulata","SPACAM",1289.89720738371,1123.80762003704,NA
"201","Spondias mombin","SPOMOM",1467.78230010722,1226.66860270515,NA
"202","Sterculia apetala","STEAPE",1273.23580658066,1167.40600269771,NA
"203","Swietenia macrophylla","SWIMAC",1273.13767044367,1163.64048046729,NA
"204","Swietenia mahagoni","SWIMAH",1506.9048562632,1319.67158688854,NA
"205","Symplocos martinicensis","SYMMAR",1472.68768184493,1322.42346475255,NA
"206","Syzygium jambos","SYZJAM",1353.7482756064,1113.2591116329,NA
"207","Tabebuia haemantha","TABHAE",1365.92117461348,1199.0824692124,NA
"208","Tabebuia heterophylla","TABHET",1460.05801809013,1216.06551630505,NA
"209","Tabebuia schumanniana","TABSCH",1320.71660725982,1176.94762776127,NA
"210","Tamarindus indica","TAMIND",1511.21248406487,1228.51823524375,NA
"211","Tecoma stans","TECSTA",1458.91118508085,1242.03546942444,NA
"212","Terminalia catappa","TERCAT",1334.67161209139,1172.68232577638,NA
"213","Ternstroemia stahlii","TERSTA",1368.71633237591,1355.9895190892,NA
"214","Tetragastris balsamifera","TETBAL",1341.16336839597,1216.74620704614,NA
"215","Tetrazygia elaeagnoides","TETELA",1538.98487321839,1239.15193997611,NA
"216","Thespesia grandiflora","THEGRA",1455.62999387338,1217.33295505642,NA
"217","Thespesia populnea","THEPOP",1499.44416927642,1343.17714795901,NA
"218","Thouinia striata","THOSTR",1212.48258965502,1309.90088932842,NA
"219","Trema micrantha","TREMIC",1342.47054912371,1224.09562289609,NA
"220","Trichilia pallida","TRIPAL",1298.39000890703,1124.5235442401,NA
"221","Turpinia occidentalis","TUROCC",1274.62244527856,1145.48055118835,NA
"222","Urera baccifera","UREBAC",1206.78519506,1196.65708712233,NA
"223","Vitex divaricata","VITDIV",1338.19958837531,1125.2992069372,NA
"224","Zanthoxylum martinicense","ZANMAR",1366.13792113282,1140.5896743542,NA
"225","Zanthoxylum monophyllum","ZANMON",1619.28447032706,1265.95476287294,NA
