Code,species,WD,THK,LA.wp,SLA.wp,MAXHT,seed_mass
MYRCOR,Myrsine coriacea,0.652871088,264.5555555,17.20402082,110.0151224,17,9.34
MYRDEF,Myrcia deflexa,0.807127193,248.6611111,65.49730504,112.9646487,18,NA
MYRFAL,Myrcia fallax,0.880047628,200.8888889,37.08876711,140.7603147,19,NA
MYRSPL,Myrcia splendens,0.744340679,151.0555556,25.46828961,382.8177427,4,173
NECCOR,Nectandra coriacea,0.717952139,209.6919192,30.52515694,94.92088448,34,NA
NECTUR,Nectandra turbacensis,0.589532282,188,153.3279143,138.220474,8,410
NEEBUX,Neea buxifolia,0.728870713,267.4722222,1.333166523,172.6094762,6,23.1772
NEORES,Neolaugeria resinosa,0.724916164,178.5019157,18.36578831,114.5565616,21,NA
OCHPYR,Ochroma pyramidale,0.165925641,NA,169.6,225.56,27,10.2
OCOFLO,Ocotea floribunda,0.424580988,NA,113.1373333,157.0726667,20,1643.32
OCOLEU,Ocotea leucoxylon,0.499727496,218.7154472,166.1296835,123.1518399,30,100
OCOSPA,Ocotea spathulata,0.61396144,376.9444444,44.0659329,73.55309611,10,NA
ORMKRU,Ormosia krugii,0.516591536,180.1333333,1402.33764,167.3877816,28,720
PALRIP,Palicourea croceoides,0.475268182,127.6944444,76.14909091,253.1822727,5,200
PERAME,Persea americana,0.530551645,162,90.44101596,170.6231186,21,15308
PETDOM,Petitia domingensis,0.604667297,462.3333333,69.35331918,87.40845815,25,12.47
PICACU,Pictetia aculeata,0.990253994,253.5277778,19.86112488,99.91767447,10,NA
PICPEN,Picramnia pentandra,0.9807088,186.5,161.9744972,124.4783968,8,105.9
PIMRAC,Pimenta racemosa,0.958278813,354.1851852,22.26959603,55.18908896,8,28.01
PIPADU,Piper aduncum,0.548162288,NA,38.55133333,185.006,7,NA
PIPAMA,Piper amalago,NA,150.6111111,56.12189581,271.6523181,5,1.36
PIPBLA,Piper blattarum,0.45785977,183.1759259,47.03291667,270.9554167,2,NA
PISALB,Pisonia albida,0.595706282,270.6666667,26.19749321,109.5637403,3,10.2
PISSUB,Pisonia subcordata,0.521259838,NA,145.34,138.42,17,14
PITUNG,Pithecellobium unguis-cati,0.937801719,191.7777778,10.42350886,101.114154,8,88.77
PLUALB,Plumeria alba,0.495394562,470.8,70.72504087,50.55852892,9,26
PLUOBT,Plumeria obtusa,0.532799342,238.7777778,49.96721869,227.0050419,3.5,NA
POIFLO,Poitea florida,0.875470216,202.3888889,7.41175887,126.1967688,14,17
POUMUL,Pouteria multiflora,0.820799137,191.962963,171.3426458,105.6834608,14,16000
PRUMYR,Prunus myrtifolia,0.915410877,161.1944444,22.23997487,143.0545095,8.5,NA
PSESPU,Pseudolmedia spuria,0.690606911,148.962963,41.23085309,170.6363223,19,1700.84
PSYBRA,Psychotria brachiata,0.418549807,262.9111111,75.7,325.123,5,NA
PSYGRA,Psychotria grandis,0.325769462,126.8222222,195.9793802,196.1266613,17,NA
QUATUR,Quararibea turbinata,0.591129426,152.5555555,101.3003715,182.3588953,10,NA
RANACU,Randia aculeata,0.981954371,198.9920635,4.859957305,134.3271019,6.5,NA
RAUNIT,Rauvolfia nitida,0.465,NA,22.81,457.95,7,NA
REYUNC,Reynosia uncinata,1.022220268,305.2222222,1.786479783,52.36390189,NA,NA
ROCACA,Rochefortia acanthophora,0.927591145,202.7222222,1.385829067,102.0599372,4,NA
RONINE,Rondeletia inermis,0.778105128,290.3,14.82239832,111.2521323,5,0.0788
ROYBOR,Roystonea borinquena,0.739967091,NA,60383.37667,121.1626667,17,333.33
SAMDOD,Samyda dodecandra,0.8004896,216.8148148,29.9330665,123.39608,6.5,NA
SAPLAU,Sapium laurocerasus,0.469707152,271.8730159,74.19376109,277.3738731,24,NA
SCHFRU,Schaefferia frutescens,0.942216616,238.4343434,8.222583301,114.0863914,7,38.2968
SCHOBO,Schoepfia obovata,0.579912997,328.4444444,4.360751307,67.13341067,5,NA
SIDOBO,Sideroxylon obovatum,0.96354011,292.5666667,6.228935831,74.01574953,9,NA
SIDSAL,Sideroxylon salicifolium,0.842611793,205.662037,21.79261586,101.5564497,25,69.6
SLOAMY,Sloanea amygdalina,0.784991099,133.2222222,114.2998069,134.3430704,12,NA
SLOBER,Sloanea berteriana,0.800125551,190.2751323,225.3026563,114.0951604,23,460
SPACAM,Spathodea campanulata,0.335362879,195.5555556,610.5010117,236.6200677,5,5
SWIMAC,Swietenia macrophylla,0.519537267,130.3636364,763.3712,242.5484,18,566
SYMMAR,Symplocos martinicensis,0.663532699,168.3611111,172.51425,148.15624,15,NA
SYZJAM,Syzygium jambos,0.637763796,266.2619048,40.11330919,88.58468594,18,1340
TABCIT,Tabernaemontana citrifolia,0.553789665,239.2888889,66.46687063,246.1738461,5,23.0989011
TABHET,Tabebuia heterophylla,0.786032932,337.3744856,145.135622,117.5806975,12,10
TABRIG,Tabebuia rigida,0.693625,NA,147.368,121.817,NA,NA
TABSCH,Tabebuia schumanniana,0.741305248,417.7555556,116.0440083,73.14735248,20,14.73
TAMIND,Tamarindus indica,0.812380723,170.3777778,16.60643373,191.4504112,11,646
TETBAL,Tetragastris balsamifera,0.551419671,169.7222222,604.2189239,127.196777,13,NA
TETELA,Tetrazygia elaeagnoides,0.754444614,329.3518519,13.66108362,109.7905793,14,NA
THOSTR,Thouinia striata,0.926572126,192.1712963,114.1399747,137.1655334,22,9.3324
TRIPAL,Trichilia pallida,0.697209801,207.9333333,99.1512521,180.7746615,9,43.0228
TUROCC,Turpinia occidentalis,0.508747642,216.9722222,205.5155703,125.7073321,27,40
UREBAC,Urera baccifera,0.371734872,164,149.4788,629.5152,4,NA
VITDIV,Vitex divaricata,0.651594803,179.6666667,114.0644933,133.3439053,29,NA
ZANFLA,Zanthoxylum flavum,0.86361287,331.1367521,145.9757947,71.42103239,9,25.15
ZANMAR,Zanthoxylum martinicense,0.566025108,212.1111111,370.8468058,242.3988413,33,15.3504
ZANMON,Zanthoxylum monophyllum,0.793975622,207.9333333,22.0499657,141.8967295,6,NA
ZIZRET,Ziziphus reticulata,0.953860843,414.5,14.27027782,70.88891112,NA,211.9696
