"","X","CODE","Species","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","tpa_2004","tpa_2008","tpa_2009","tpa_2013","tpa_2014","tpa_2019","D_51","D_91","D_00","D_77","WD","THK","LA.wp","SLA.wp","MAXHT","seed_mass","PC1"
"11",19,"BUCBUC","Bucida buceras",4413,9353,11972,12714,8301,12.2881433502025,NA,2.5041914380205,NA,2.28472492158511,3.36510234465691,1375.31499892924,1178.13615236906,1165.62722366832,1195.81192565243,1.41603783835521,-0.0147571714742802,-0.107872283528741,-0.669445231923314,1.15825778263731,-0.182318475517073,0.217222685486362
"12",21,"BURSIM","Bursera simaruba",2406,4124,3121,3801,1395,7.90919291419177,54.4395300769231,11.7070276575133,47.2589134512543,9.86501932595323,9.3485486020213,1499.215572044,1389.86794710132,1354.77727126133,1401.12297547762,-1.5593631759034,-0.409113296409503,-0.0893161836864425,-0.0640816482551541,0.683624719031802,-0.17254914082998,0.729707160489835
"13",24,"BYRSPI","Byrsonima spicata",898,2726,3534,3113,2215,1.01629772256326,NA,1.19691826521581,NA,0.865189585973567,0.695549504416745,1667.28628554603,1345.69638947163,1306.48376684389,1315.7021592142,-0.0444035631259603,-0.837829692337445,-0.105795544268656,1.05645224452962,1.51423258034144,-0.173662103009522,0.261995077762662
"14",25,"BYRWAD","Byrsonima wadsworthii",1521,2353,3495,3161,1640,0.397964682610799,NA,0.365342127024147,NA,0.366570568976906,0.398933766479152,1257.92272357923,1067.60692938697,1070.16904137291,1297.02652061598,-0.550101175775005,0.362148569581551,-0.104390379991342,-0.725415605125239,0.446308187229049,0.202517663482448,0.584732974404536
"15",26,"CALANT","Calophyllum antillanum",3323,6745,7175,7127,3804,5.09659539226568,NA,9.89653826266934,NA,4.57221003863783,7.36921077798143,1417.37652387804,1193.2189784525,1206.1789722095,1245.99877206748,-0.083551637063891,0.339198165009342,-0.094901898619425,-0.0993970008816583,2.34484044165107,-0.0633551847704422,1.38361493841862
"16",29,"CASARB","Casearia arborea",2346,5007,8484,7723,5377,8.43852067001015,NA,9.3937731806635,NA,7.3385682514542,5.98574970044416,1320.52259343654,1122.93184139475,1026.72042077253,1207.00575294604,-0.11154016017911,-0.66654615848512,-0.106205532103584,0.494930648347592,1.51423258034144,-0.18681360609778,0.452946105585917
"17",30,"CASDEC","Casearia decandra",3133,7242,7794,7806,4673,3.18713481294596,NA,2.73260160138255,NA,2.47377297405656,2.4430930640387,1369.63238524968,1202.39408776944,1184.32472644921,1245.73478211463,0.536747926425505,-1.24481685534166,-0.107160140759521,1.59506397964658,-0.62161620588334,-0.176122986050954,-1.30312215862757
"18",31,"CASELA","Castilla elastica",6497,13153,18205,18297,11800,NA,NA,0.0543244042316082,NA,0.0817646157729944,0.0593231475875186,1275.08424119104,1161.06306492212,1107.6659541048,1178.85625130357,-2.22461575384281,-0.574992923893435,-0.0237121265269851,1.67246679114905,-1.57088233309435,-0.116755110144881,-0.526156897602523
"19",33,"CASGUI","Casearia guianensis",3230,7624,8504,8585,5355,54.3141454461815,NA,52.8020587484159,NA,44.3280959441179,43.7276751693671,1403.4494223774,1143.32326711069,1153.25222934037,1225.12907749098,0.695809110633169,-0.997717506726097,-0.100980765502226,0.680883294256515,-0.0283248763764576,0.0150216600350172,-0.856644586547003
"20",34,"CASSYL","Casearia sylvestris",4699,9972,15647,15140,10441,43.5235172305948,NA,51.4127955894395,NA,42.8959157877149,33.997881799325,1274.17810378456,1111.28193068155,1082.29211871651,1175.57120347642,-0.0622878316686868,-0.808868468784747,-0.0977451652623892,0.114122028292026,-0.384299674080587,-0.186646661770849,-0.54154074321785
"21",35,"CECSCH","Cecropia schreberiana",3156,6756,12562,11881,8725,14.5279955470865,NA,10.0260154021285,NA,11.766581216735,9.33493877430232,1278.17221457668,1127.39772035152,1063.70283010531,1226.63651875669,-2.17912975246746,0.173384533379049,0.253034959686771,0.0850548566397209,1.15825778263731,-0.186943451685393,1.62124452954135
"22",37,"CEIPEN","Ceiba pentandra",3304,6475,7714,8357,5053,NA,NA,0.421278475658432,NA,0.400109993808109,0.42611738483436,1407.74566809745,1194.35907869969,1160.28113223707,1215.07833699068,-2.15738165090939,-2.37151516076088,-0.0344682484334653,2.75156249563676,2.34484044165107,-0.179721563764808,0.502130258231987
"23",38,"CHIDOM","Chionanthus domingensis",4245,8076,10138,9938,5693,0.370418637943092,NA,0.419666531255755,NA,0.733141137953813,1.50675034453533,1275.4244433945,1151.99928691259,1087.92636589264,1187.51090042694,1.00179083253732,-0.358056962626666,-0.0931732528450739,-0.0205458570924409,0.920941250834555,-0.138649150736155,-0.0234579815934119
