"","X","SCIENTIFIC_NAME","CODE","tpa_2004","tpa_2008","tpa_2009","tpa_2013","tpa_2014","tpa_2019","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","AI_51","AI_77","AI_91","AI_00","WD","THK","LA.wp","SLA.wp","MAXHT","seed_mass","PC1","PC2"
"21",29,"Casearia sylvestris","CASSYL",43.5235172305948,NA,51.4127955894395,NA,42.8959157877149,33.997881799325,4694,9975,15658,15136,10442,90.0070978292242,86.2041728556669,84.0120427839124,82.8813172288227,-0.062287831668687,-0.808868468784747,-0.0977451652623892,0.114122028292026,-0.384299674080587,-0.18566069025969,-0.434702274667197,-0.527177871161802
"22",30,"Cecropia schreberiana","CECSCH",14.5279955470865,NA,10.0260154021285,NA,11.766581216735,9.33493877430232,3153,6757,12570,11881,8728,92.8822612189354,90.4992626661461,88.2445261429732,87.1552777963463,-2.17912975246746,0.173384533379049,0.253034959686771,0.0850548566397207,1.15825778263731,-0.185959107483052,-1.40673855977611,1.59551488205257
"23",32,"Ceiba pentandra","CEIPEN",NA,NA,0.421278475658432,NA,0.400109993808109,0.42611738483436,3298,6479,7723,8358,5060,92.6972124196189,88.5769243795469,88.3289419907471,87.0251365484371,-2.15738165090939,-2.37026516268531,-0.0344682484334654,2.75156249563676,2.34484044165107,-0.178697621714563,-4.55808622727901,0.471594567683945
"24",34,"Chionanthus domingensis","CHIDOM",0.370418637943092,NA,0.419666531255755,NA,0.733141137953813,1.50675034453533,4239,8077,10145,9935,5696,92.2063861151505,89.2446956703233,88.0352263598988,87.2725299868995,1.00179083253732,-0.358056962626666,-0.0931732528450739,-0.020545857092441,0.920941250834555,-0.129129149213144,0.0663469822676666,-0.00174073287977326
"25",35,"Chrysophyllum argenteum","CHRARG",NA,NA,1.07047612335931,NA,1.01794709115772,0.912915603971226,3399,7116,7767,7667,4268,93.3836109534342,89.7677816621278,88.9235877171868,88.8300357237333,0.593375537541594,-0.453059145231096,-0.099849890040677,0.554193232508444,1.03959951673593,-0.156627181236708,-0.579198344099067,0.0646904393818318
"26",39,"Cinnamomum elongatum","CINELO",5.34420991825536,NA,3.3572757897304,NA,3.6186720986814,2.97067960329782,4070,9205,14452,14087,10017,90.4511767349718,85.8166432972008,83.6598602698666,82.3348417260208,-0.57423748179279,-1.11460362593108,-0.104208034102716,0.601536130870474,2.10752390984832,-0.224955890938927,-1.80245097237732,0.713427408453992
"27",40,"Cinnamomum montanum","CINMON",0.425510727278506,NA,0.0904397567451089,NA,0.456366507108594,0.555901700985842,3404,7821,10104,9897,6493,92.6304730145846,88.8820718107166,86.684099460696,86.5242558058053,-1.01836476046342,-0.880087578950256,-0.105100687528772,0.20183309390077,0.802282984933178,-0.101443975899921,-1.28953199798115,0.314387171495181
"28",42,"Citharexylum spinosum","CITSPI",NA,NA,NA,NA,0.089795938131688,0.127306360712931,3078,7643,9360,9652,6574,92.2510884841615,87.1054751428964,85.5798002603282,84.7993702603983,-0.0473913807029354,0.758134109589439,-0.10158989580015,0.365531522951682,0.446308187229049,-0.1769449551915,-0.0727038010232875,0.548201157857878
"29",43,"Clusia rosea","CLUROS",2.92724433144926,NA,4.09858159889471,NA,4.0888446438996,4.47041789464509,2892,4496,4029,4495,1603,94.7513565691784,93.9651403801428,93.9727036423841,93.6638415438476,0.422316947200249,5.89866029544824,-0.0872495934674086,-1.56483757403564,1.15825778263731,-0.184618617315708,3.55583909570398,3.37483062875398
"30",45,"Coccoloba krugii","COCKRU",3.77159852602923,NA,5.07269887362514,NA,4.75041975873605,5.53908289028089,654,1071,806,979,325,98.5550774948934,97.8533285152638,98.2394341652691,97.8566733948218,0.673812462346915,1.28326120883541,-0.107572654710907,-1.12636515532066,-1.27423666834091,-0.183179699200857,1.90847383729225,-0.0978984931741211
"31",46,"Coccoloba microstachya","COCMIC",5.49895628129799,441.373315076923,10.7015373447878,560.541948423515,11.1956132142913,14.6477286139294,952,1734,1613,1856,904,98.0694241749054,96.9028761863591,97.0727689204685,96.4983478486905,0.747497622148913,0.791758273589159,-0.108340160063609,-0.979343223008479,-0.740274471784717,-0.18143311292872,1.48661908901641,-0.0925508427345549
"32",47,"Coccoloba pyrifolia","COCPYR",NA,NA,NA,NA,0.400109993808109,0.42611738483436,1841,2623,3469,3251,1410,97.146116722693,97.0640035374105,96.7514623373724,96.4350829639468,-0.0619562551506343,0.370071922768185,-0.101145132831761,-0.76971393596539,-0.97759100358747,-0.180612465564473,0.817606880453612,-0.167031306296998
"33",48,"Coccoloba rugosa","COCRUG",NA,NA,4.72939528251154,NA,4.47426146260533,5.55038135456841,1571,4510,6006,5501,3930,96.639046159745,93.0533481927926,91.2135386078513,91.4140630879023,0.435469597350807,1.2963392968387,0.174987927381609,-1.41095341139379,-0.0283248763764576,-0.225769169343568,1.65006829492205,0.842077726706865
"34",49,"Coccoloba sintenisii","COCSIN",0.342872593275385,NA,0.0271622021158041,NA,1.72383335718721,1.84636096342696,332,420,433,445,113,99.1414251454246,99.0908369204642,99.1425817360076,99.0957772087742,0.102157689424934,1.37681142659522,-0.0796419242548518,-1.18957544753242,-0.97759100358747,-0.178833152870174,1.62920221539403,0.30735346366424
"35",50,"Coccoloba uvifera","COCUVI",NA,NA,0.0879838142030917,NA,0.0987706338156028,0.104231284753209,5936,11782,15656,15872,9936,88.4017635020437,83.9038703202839,82.8933716330125,81.1090809929722,0.303796995295243,2.08911182069666,-0.0642147553123307,-1.01352047806875,-0.97759100358747,-0.107450509636754,1.97341508022953,0.514515663059614
"36",52,"Coffea arabica","COFARA",11.0690860390294,NA,12.3422863426032,NA,5.08973545578862,2.58490534879775,2524,6206,11495,11229,8705,93.2226837439434,90.1653397420081,88.5619609602316,87.0269006983841,-0.101649406743054,-0.279042000899207,-0.0967519797659374,0.449944134108374,-0.97759100358747,-0.162620393805906,-0.254626933995722,-0.642930608211376
"37",53,"Cojoba arborea","COJARB",1.26598474124021,NA,0.365342127024147,NA,0.366570568976906,0.398933766479152,3669,5750,4820,5505,1836,93.7412422057799,92.0898963479821,92.9378579971477,92.1332712892261,-0.646603519868885,-1.04165113642478,-0.0761536736617918,-0.875967165909394,-1.27423666834091,-0.0803442785146557,0.0446610689672759,-0.762879596452159
"38",54,"Colubrina arborescens","COLARB",1.71436296637692,NA,1.57646509417051,NA,0.745710243767556,0.792911622081201,2250,3615,3189,3656,1406,95.8560830495501,94.8480121525971,95.1105217950747,94.3566785849079,1.04822033472521,-0.0198117248270789,-0.097810264247555,-0.747587163144072,-0.265641408179211,-0.184159278604647,0.992810159034689,-0.34069194027317
"39",55,"Comocladia dodonaea","COMDOD",0.866563438508563,20.1829605384615,0.676359849816685,25.9937670826838,0.67863139410515,0.738544385370785,857,1519,1107,1397,540,98.2260312659928,97.0107035526428,97.6662051253809,97.0195956532857,0.864979766684486,-0.424613134312331,-0.102291023032675,-0.957403001067079,-1.03692013653816,1.33440994976329,1.49330272209129,-1.36567098366885
