"sp","total_hab_raw","fcover_51_raw","fcover_00_raw","tot_change_raw","total_hab","fcover_51","fcover_00","tot_change"
"MANIND",24609.5033578202,3096.96697128564,11077.8336968273,7980.86672554165,16656,1183,8519,7336
"MANPLE",12773.4484252334,2449.56205493072,3851.49589090096,1401.93383597024,19967,3815,5799,1984
"MARMIC",27741.4561598748,4144.97690195031,12031.3662311956,7886.38932924531,44155,6519,18882,12363
"MARNOB",28089.4757292867,4326.97427910566,12183.5468862653,7856.57260715961,20665,3221,7158,3937
"MATDOM",12544.6994593199,2092.16958742077,7218.11789914872,5125.94831172796,8165,1951,5165,3214
"MAYELO",27890.9849407524,4303.43966642767,12212.6141680032,7909.17450157553,36716,4267,15448,11181
"MAYLAE",16344.8953755327,2330.77452899946,5585.02692626149,3254.25239726203,14481,2036,4142,2106
"MAYPON",8783.32967560505,2274.5173477116,4315.78862886596,2041.27128115436,9240,2976,4447,1471
"MECLAT",8265.57055969653,1645.92533429875,5001.76813020324,3355.84279590449,8246,1917,5203,3286
"MELAZE",25576.1907311529,3844.05813040026,10720.7250762545,6876.6669458542,40620,6022,16742,10720
"MELBIJ",22802.8103273865,2977.02201457694,8410.77627732791,5433.75426275097,21184,2465,6016,3551
"MELHER",22293.9614590798,2768.14068388846,9739.12712333538,6970.98643944692,15725,2715,9697,6982
"MELOBT",16797.1987381754,2244.57408695668,9085.46764409542,6840.89355713874,25903,3421,14081,10660
"MELTOM",5360.33840667578,542.528506742429,1222.38838767248,679.85988093005,8312,912,1757,845
"MICCAL",18382.4229644686,3138.79102537595,9934.24880192243,6795.45777654648,13541,2101,8137,6036
"MICFOV",1389.61642655685,338.789576177493,699.963009853697,361.173433676205,3351,661,1560,899
"MICGAR",7290.983639871,1214.58838900342,3715.89663653448,2501.30824753107,6499,1037,2980,1943
"MICGUY",9102.547605325,1766.51128479303,5086.21119732293,3319.6999125299,8591,1989,5391,3402
"MICIMP",24713.9589484408,3156.70794440806,10028.2358588204,6871.52791441232,21467,1866,7258,5392
"MICLAE",28669.5124969184,4372.63251060247,12461.1635904014,8088.53107979894,38040,5566,17272,11706
"MICMIR",14395.0477579273,2553.14625953138,6974.52825996652,4421.38200043514,4938,1419,2735,1316
"MICPAC",10147.1367333236,1539.19590290496,5406.74090280919,3867.54499990423,969,664,863,199
"MICPRA",25053.8093262315,3057.13199536502,10566.6949853823,7509.56299001724,26240,2744,10677,7933
