"sp","total_hab_raw","fcover_51_raw","fcover_77_raw","fcover_91_raw","fcover_00_raw","tot_change_raw","total_hab","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","tpa2004","tpa2009","tpa2014","tpa2019","tpa_gs_2004","tpa_gs_2009","tpa_gs_2014","tpa_gs_2019","tpa_diam2_2004","tpa_diam2_2009","tpa_diam2_2014","tpa_diam2_2019","tpa_seedlings_2004","tpa_seedlings_2009","tpa_seedlings_2014","tpa_seedlings_2019","nPlots2004","nPlots2009","nPlots2014","nPlots2019"
"BRUAME",26719.9125801921,4320.59392654896,8571.49363017082,11765.334118396,11800.3992083669,7479.80528181791,41940,6794,13476,18497,18545,11751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRUDEN",13950.399997673,2004.05845804792,4651.69423707109,7838.66430272348,7571.24246880691,5567.184010759,20415,2940,6871,11667,11250,8310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRULAC",10706.2541797645,1571.52154896362,3620.44140263041,6083.5936097037,5796.49335833173,4224.97180936811,6743,1046,2548,3482,2987,1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BUCBUC",21632.9475701342,2880.71922336868,6176.34515022556,8098.65874906606,8394.71934713307,5514.00012376439,19376,1998,4750,5400,6052,4054,11.6379578163351,2.48086105133674,2.24614765973285,3.38830380179333,0.227924407568837,0.141171166241107,0.144141912060049,0.0952692810222168,4.90000487655931,1.42627966956734,1.8941570374323,2.2304190784479,1.06388731101096,21.0308207758512,3.20270787443025,21.1330621746756,16,6,8,9
"BUCTET",13603.2838400248,2617.13659344241,5085.71376468241,7123.51151198708,6877.89632260054,4260.75972915813,9500,2239,4365,6463,5915,3676,0.725006264392821,0.258761354805048,0.288283824120099,0.254805704403552,0.170943305676628,0.117590188563941,0.0565459211742903,0.130797149751159,0.37037716229936,0.258761354805048,0.288283824120099,0.254805704403552,8.31713753062881,1.40610851371507,12.9500006127962,1.18629691453503,7,6,6,5
"BUNGLA",17902.9899036693,2415.16408000654,4971.15079642786,6451.1181745152,6789.93895751564,4374.7748775091,13347,1425,3037,4048,4543,3118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BURSIM",17955.0872251205,2649.03288185038,4889.01791423373,5534.75043361634,5953.6122498475,3304.57936799712,18573,3036,5176,4568,5196,2160,7.38825558257068,10.9967772431899,9.15416821619929,8.60385344688696,0.211209543705048,0.169405399489329,NA,0.0310021386630984,5.89612528222796,8.71318238747449,6.93784767530617,7.03159495790346,1.28472898789956,10.8973409965317,0.386782891330494,0.385961574448474,28,33,32,33
"BUXPOR",15713.9407317489,3324.78426671959,6303.53930833749,8284.09673003107,8331.90615241788,5007.12188569829,12272,3385,5723,6264,6519,3134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BUXVAH",24632.1768761724,3872.20457860827,7691.12504799291,10243.4914005026,10405.5155650713,6533.31098646298,37905,5956,11824,15704,15967,10011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BYRCRA",21004.7801528275,2106.61118694674,5052.19397655409,8176.52307153074,8171.14799811831,6064.53681117157,21535,1758,4330,6426,6847,5089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BYRLUC",14945.0062745879,1931.30383682507,4163.54598459415,6265.72335679736,6434.26259102393,4502.95875419886,15275,1738,3771,6124,6456,4718,4.6386688781611,5.09078518107988,4.37177157898509,6.82482632875099,NA,0.0282342332482215,NA,NA,2.15626516350687,2.63009529028461,2.92901682075295,4.83819407412941,6.38332387079635,11.9519223970579,0.703981244601093,145.026728261782,2,4,5,6
"BYRSPI",21649.1621718789,2587.36297462462,5898.76056874637,8978.67774466472,8748.98028411297,6161.61730948836,14530,1350,3536,4355,3949,2599,1.05114481554018,1.2441579418002,0.897508200829275,0.726985099742556,0.113962203784418,0.141171166241107,0.0565459211742903,0.0620042773261967,0.696515713446717,0.892630814543731,0.897508200829275,0.341023525294082,21.1439588044755,1.40610851840427,17.0347190221362,0.41437376563808,5,10,10,8
"BYRWAD",7537.96358065796,1562.19445658103,3034.56372650666,4804.70081031718,4531.01053240336,2968.81607582234,7483,1842,3219,5235,4703,2861,0.41161020398567,0.379761360504689,0.380263582887692,0.416963713111572,0.0284905509461046,NA,0.0282729605871451,NA,0.0569811018922092,0.0282342332482215,0.0282729605871451,0.0310021386630984,0.428242994062336,35.1527129085256,22.171341387479,3.85961576507889,2,2,2,2
"CALANT",18029.8213062165,3022.73235340789,5681.19994868338,6661.65027017333,6761.55160775967,3738.81925435178,18420,3260,6064,6363,6455,3195,5.27134884251656,10.2871324080007,4.74300207968149,7.70226475389,0.341886611353255,0.423513498723322,NA,0.434029941283377,1.01579961739503,3.20110877504917,2.49188926975842,1.77078018121486,2.55601761608426,4.85790988145283,43.4954645231642,7.80446808313245,11,14,16,20
"CALKRU",4041.20501761796,952.973622630729,1642.33742524011,2358.19899342628,2212.83924326059,1259.86562062986,3356,1359,2016,2468,2284,925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CALPAL",11297.1506714851,2133.90641497541,3411.61802639603,2837.29233959015,3240.48992992379,1106.58351494838,17356,3322,5296,4368,5008,1686,NA,0.351527127256468,0.703981244601093,0.771923148896948,NA,NA,NA,NA,NA,NA,0.351990622300547,0.385961574448474,NA,1.0545813864586,13.3019912163152,NA,NA,1,2,2
"CAPFRO",5229.28411360671,583.306599619327,1283.10947146684,1670.22200790318,1807.07161152225,1223.76501190293,3412,241,464,312,476,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CASACU",20672.4057351819,2421.17711884016,5236.17428312998,7065.00485636888,7327.35449090973,4906.17737206956,21999,1738,4080,5597,5956,4218,NA,1.40610850902587,1.40796248920219,1.15788472334542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2
"CASARB",17842.8908391986,2793.61492592562,5829.81296431087,9256.78749958985,8806.66357773542,6013.0486518098,13856,2407,5177,8500,7843,5436,8.72786296395317,9.76452431702586,7.61269587013583,6.25627768459181,NA,NA,NA,NA,2.25748487655108,3.14631587278181,4.27081892428117,3.0549363242456,0.354629102093461,0.351527127256468,6.64896164754861,17.9247056596716,15,17,18,18
"CASDEC",27179.5140800178,4269.53646889329,8669.83961424232,11538.5190443397,11587.6136285365,7318.07715964317,22008,3057,7114,7659,7617,4560,3.19166191884115,2.84045125129997,2.49872662513377,2.43200815892276,NA,NA,NA,NA,0.354629102093461,0.379761360504689,0.351990622300547,0.445375904301178,2.83703283093942,14.7641394291772,0.703981244601093,11.7493204328352,5,9,7,7
"CASELA",26834.5731739346,4117.23384900764,8328.85318353213,11713.1328549683,11796.1832781341,7678.94942912646,28108,4211,8446,13221,13516,9305,NA,0.056468466496443,0.0848188817614354,0.0620042773261967,NA,NA,NA,NA,NA,0.056468466496443,0.0848188817614354,0.0620042773261967,NA,10.3025859817404,5.27985936268049,NA,NA,1,1,1
"CASEQU",6895.108232397,753.864408087451,1134.2314183847,944.707042307826,1088.93963082356,335.075222736108,10372,1137,1712,1430,1658,521,NA,0.169405399489329,NA,NA,NA,0.0847026997446644,NA,NA,NA,0.169405399489329,NA,NA,NA,0.351527127256468,NA,NA,NA,1,NA,NA
"CASGUI",19547.1237609342,2937.30989293661,6226.69188255793,7453.86362476833,7480.1824011351,4542.87250819849,23935,3690,7945,8912,8932,5242,55.2340643960767,53.7377630153424,44.2600593909212,44.2154938226063,NA,NA,NA,NA,8.9312919089853,11.1554883581975,8.18712250311681,9.85310459448607,1.41851641310442,0.351527127256468,0.351990622300547,74.8031184001068,40,40,35,40
