"","fcover_51","fcover_77","fcover_91","fcover_00","tot_change"
"HOMRAC",1735,4841,6538,5981,4246
"HURCRE",2004,4287,8285,8371,6367
"HYMCOU",1629,4476,6964,7230,5601
"HYPTRI",442,693,498,580,138
"ILENIT",1445,1779,3410,3329,1884
"ILESID",3489,8242,14256,13689,10200
"ILEURB",2849,4444,3793,4257,1408
"INDSUF",1630,2781,2690,3071,1441
"INGLAU",2435,6004,10928,10372,7937
"INGVER",2822,7233,12897,12489,9667
"IXOFER",3191,6529,7099,6922,3731
"JACARB",634,1130,693,984,350
"JACBER",736,1292,989,1233,497
"JATGOS",814,1336,1400,1699,885
"JATHER",4067,7654,9185,9753,5686
"KOAPOL",4290,9475,15180,14782,10492
"KRUFER",2247,4138,3213,3973,1726
"LAEPRO",3126,7735,13699,13076,9950
"LAGRAC",1025,1673,1503,1752,727
"LANCAM",1618,3481,3081,3750,2132
"LANINV",1692,3543,4470,5037,3345
"LEULEU",1805,3658,4198,4855,3050
"LICBRI",333,420,434,445,112
"LICPAR",3207,5765,5429,6004,2797
"LONGLA",1392,2142,1770,2040,648
"LONHEP",5454,10893,15054,15077,9623
"LONSER",3674,5751,4817,5498,1824
"LYOSTA",1882,4591,7147,6876,4994
"MACLUN",1168,2491,3679,3793,2625
"MACPOR",969,2047,2113,2423,1454
"MAGPOR",1143,1462,2002,1837,694
"MAGSPL",3132,7748,13722,13096,9964
"MALCOC",5060,10098,12919,13476,8416
"MALFUC",1038,2251,2473,2251,1213
"MAMAME",2825,5794,6231,6122,3297
"MANBID",1508,2837,3368,3188,1680
"MANIND",1259,4394,8309,8125,6866
"MANPLE",3698,5825,4917,5646,1948
"MARMIC",6473,13079,18105,18149,11676
"MARNOB",3122,6433,6991,6818,3696
"MATDOM",1946,3412,5617,5028,3082
"MAYELO",4290,9475,15180,14782,10492
"MAYLAE",1957,4019,3651,3854,1897
"MAYPON",2873,4518,3893,4405,1532
"MECLAT",1920,3403,5638,5071,3151
"MELAZE",5970,11854,15744,16021,10051
"MELBIJ",2449,4421,5171,5757,3308
"MELHER",2739,6012,10075,9397,6658
"MELOBT",3459,8155,14133,13521,10062
"MELTOM",886,1855,1260,1720,834
"MICCAL",2141,5065,8280,7884,5743
"MICFOV",628,1392,1762,1481,853
"MICGAR",1005,2524,3376,2872,1867
"MICGUY",2003,3550,5877,5293,3290
"MICIMP",1882,5371,7107,6858,4976
"MICLAE",5561,11598,16778,16601,11040
"MICMIR",1352,2440,3005,2656,1304
"MICPAC",630,821,879,834,204
"MICPRA",2787,6982,10494,10163,7376
"MICRAC",2395,5840,9084,8398,6003
"MICSER",2146,4378,9692,9146,7000
"MICSIN",1585,2463,3834,3451,1866
"MICTET",2663,6434,10495,9770,7107
"MICTHO",935,2520,2944,2854,1919
"MORCIT",957,2249,2327,2356,1399
"MOSXER",604,972,666,838,234
"MOUHEL",333,420,434,445,112
"MUNCAL",1073,2104,3056,3328,2255
"MYRAMA",2264,4977,5750,5436,3172
"MYRBOR",934,2377,2509,2947,2013
"MYRCER",5110,9379,13333,12992,7882
"MYRCIT",1074,1833,2124,2310,1236
"MYRCOR",2050,4430,7603,6977,4927
"MYRDEF",2197,5256,7956,7278,5081
"MYRFAL",1690,3050,4527,4101,2411
"MYRFLO",24,74,100,148,124
"MYRGUI",1540,2771,3865,3823,2283
"MYRSPL",2364,5545,10113,9434,7070
"NECCOR",4049,8737,9846,10156,6107
"NECKRU",2967,6721,10838,10786,7819
"NECMEM",2599,6436,11238,10800,8201
"NECPAT",2989,4736,4149,4647,1658
"NECTUR",3096,5449,6478,6311,3215
"NEEBUX",2571,4184,3555,4033,1462
"NEORES",2932,4808,4831,5084,2152
"OCHPYR",3126,7735,13699,13076,9950
"OCOCUN",333,420,434,445,112
"OCOFLO",5981,12192,17515,17353,11372
"OCOLEU",3431,7126,12907,11994,8563
"OCOSPA",1055,1427,1532,1453,398
"OCOWRI",1388,1966,4087,3901,2513
"ORMKRU",2551,5953,9379,8656,6105
"OSSKRU",1883,3632,8112,7992,6109
"OURLIT",848,2131,2903,2736,1888
"OXALAN",2879,4531,3916,4425,1546
"PALALP",938,1648,3455,3170,2232
"PALCRO",1637,3538,7691,7251,5614
"PALRIP",3035,7421,12699,12165,9130
"PARCRE",860,1719,2895,2721,1861
"PERAME",6020,12167,16752,17041,11021
"PETDOM",3136,6055,8752,9288,6152
"PHIMYR",561,848,944,1073,512
"PHLCOW",1013,1827,2380,2685,1672
"PHYCUN",571,1334,1187,1529,958
"PHYEPI",3233,5226,4298,4896,1663
"PHYJUG",821,1985,1634,1784,963
"PICACU",1419,3570,4564,5092,3673
"PICEXC",5946,11780,15644,15873,9927
"PICPEN",3665,8125,9369,9845,6180
"PILRAC",386,500,523,587,201
"PIMRAC",2730,4568,4947,5242,2512
"PINCAR",3465,8168,14156,13541,10076
"PINCOR",5084,9976,15524,14937,9853
"PIPADU",4749,9391,14684,14124,9375
"PIPAMA",5382,11617,16792,16703,11321
"PIPBLA",3213,6817,12690,11769,8556
"PIPGLA",2918,5994,11383,10776,7858
"PIPHIS",3093,7256,13184,12652,9559
"PIPJAC",4298,8317,9615,10333,6035
"PIPMAR",3274,6974,7766,7777,4503
"PIPUMB",2599,6436,11238,10800,8201
"PISALB",958,1890,1692,2113,1155
"PISCAR",329,638,560,806,477
"PISSUB",5981,12192,17515,17353,11372
"PITDUL",617,1039,683,957,340
"PITUNG",669,1398,1008,1306,637
"PLUALB",2061,4865,6718,7308,5247
"PLUCAR",5392,10879,14537,14921,9529
"PLUOBT",835,1180,1225,1260,425
"PODCOR",1188,1814,1581,1854,666
"POIFLO",3616,6752,7588,8289,4673
"POIPUN",1721,3404,7306,7303,5582
"POUDIC",2768,4401,3668,4149,1381
"POUMUL",6279,12200,16078,16318,10039
"PREMON",1944,3918,5665,5081,3137
"PROJUL",865,1719,1198,1613,748
"PROPAL",1504,3170,2898,3510,2006
"PRUMYR",2147,3316,2925,3253,1106
"PSESPU",1500,2300,1918,2200,700
"PSIAMP",2196,3549,3558,3949,1753
"PSIGUA",3061,7751,11533,11265,8204
"PSYBER",2167,4744,7644,6942,4775
"PSYBRA",2156,4949,9516,8757,6601
"PSYDOM",2822,5933,5818,5890,3068
"PSYGRA",2932,6856,11672,11245,8313
"PSYMAL",815,1463,1941,1642,827
"PSYMAR",1212,1930,1681,1938,726
"PSYPUB",4319,7638,8762,8643,4324
"PTEIND",6279,12200,16078,16318,10039
"QUACYN",1012,2755,2447,3047,2035
"QUAIND",841,1739,1151,1514,673
"QUATUR",3485,6789,7785,7920,4435
"RANACU",3044,5857,5089,5727,2683
"RAUNIT",2381,6011,6805,7467,5086
"RAVURB",607,1019,1375,1155,548
"REYKRU",3382,5756,6277,6553,3171
"REYUNC",698,1197,798,1041,343
"REYVIV",350,525,365,421,71
"RHIMAN",834,1539,1980,2074,1240
"ROCACA",915,1901,1343,1827,912
"RONINE",3664,6171,6214,6709,3045
"ROYBOR",3009,7760,11342,11400,8391
"SAMDOD",3303,5629,6110,6842,3539
"SAMSAM",1030,2675,2590,3174,2144
"SAMSPI",2369,4432,5166,5095,2726
"SAPLAU",3867,8045,11626,11025,7158
"SAPSAP",880,1620,2426,2589,1709
"SAVSES",663,2317,2298,2734,2071
"SCHFRU",4193,8204,10149,10920,6727
"SCHGLE",2938,6869,11695,11265,8327
"SCHMOR",2801,6116,11165,10271,7470
"SCHOBO",2855,4457,3816,4277,1422
"SENPOL",859,1413,1031,1287,428
"SENSIA",6497,13153,18205,18297,11800
"SIDCUB",1902,3015,2714,3054,1152
"SIDFOE",3365,5405,4483,5201,1836
"SIDOBO",788,1284,905,1133,345
"SIDPOR",3280,5377,5672,5910,2630
"SIDSAL",3347,5344,4406,5073,1726
"SIMTUL",2510,4344,8926,8557,6047
"SIPDEN",860,1719,2895,2721,1861
"SLOAMY",2855,4457,3816,4277,1422
"SLOBER",1793,3087,4914,4423,2630
