"","X","CODE","Species","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","tpa_2004","tpa_2008","tpa_2009","tpa_2013","tpa_2014","tpa_2019","D_51","D_91","D_00","D_77","WD","THK","LA.wp","SLA.wp","MAXHT","seed_mass","PC1","PC2"
"11",11,"ANDINE","Andira inermis",3054,7271,10917,10913,7859,22.0621297567852,NA,21.6664524893442,NA,18.517430133411,17.5742380644596,1345.18914159635,1150.8690809506,1126.66245607204,1226.62803384675,0.282560619351763,-0.9160050712266,-0.0132722252133907,0.582016572431946,1.62500466355481,-0.0696787177971087,-0.877713558652965,0.412172112492602
"12",12,"ARDOBO","Ardisia obovata",2960,4801,4069,4566,1606,12.0816224317576,NA,16.113078199024,NA,17.8417313469806,21.5674816872549,1591.24727967843,1351.79902823508,1354.26861407264,1357.12478246531,0.655382944331301,1.440383142046,-0.0904384521347203,-0.933201626710296,-0.27168847687194,-0.123189980513042,1.49640586437688,-0.423797400302924
"13",13,"ARTALT","Artocarpus altilis",995,3543,6447,6536,5541,0.723724247637549,NA,1.12080170922238,NA,1.66200009343863,2.16978684106696,1440.14906463789,1125.03587270946,1120.22229529055,1238.73573547255,-1.35925879740125,0.353608482808038,0.0625262762723289,0.671534499521212,0.202484808234748,0.611979485945598,-0.688227027057975,0.831381999212353
"14",14,"AVIGER","Avicennia germinans",1531,3568,5217,5533,4002,3.94063612387061,NA,3.53253896225956,NA,4.30605385889874,7.4398791116311,1506.87484865323,1246.53850916239,1229.95109505549,1252.09653643591,-0.0974012314570587,0.0624710132173464,-0.0606740885906268,0.063628637767512,0.328778048666829,-0.10224763508003,-0.115916957048312,0.185177572926243
"15",15,"BIXORE","Bixa orellana",6473,13079,18105,18149,11676,NA,NA,NA,NA,1.01794709115772,NA,1276.59219883041,1163.93828971052,1111.0240998684,1181.21222752328,-0.550576949254858,-0.319879787927089,-0.0232988140477212,0.215969283879756,-0.240521963579657,-0.0210762024604614,-0.460418136922889,0.145982213314425
"16",16,"BOCFRU","Bocconia frutescens",3957,9055,14746,14337,10380,0.0275460446677071,NA,NA,NA,NA,NA,1350.30802730653,1214.58738464796,1164.34931454491,1223.82790940684,-0.25781564575005,1.01982405487408,1.22508299911289,0.00226090095377041,0.0428149757030428,-0.043059849223927,0.901409399028274,1.17783280941562
"17",17,"BOUSUC","Bourreria succulenta",2482,5249,4460,5286,2804,4.87903988948787,56.8654912307692,19.359867682988,51.6497755429309,22.2397319434701,22.8239118758192,1377.17276024111,1282.63689056117,1263.35553890893,1272.38227798725,0.34251037579454,0.283386946103137,-0.0968771302871935,-0.389286272698479,-0.508775119425284,-0.173212319336991,0.532931144921541,-0.45801966680233
"18",18,"BOUVIR","Bourreria virgata",2869,4675,3935,4529,1660,1.02861777982615,NA,0.676359849816685,NA,1.01794709115772,1.87602253722072,1497.11922556947,1495.16186667425,1459.67935945722,1475.93555538837,0.649193217774737,0.379339168791771,-0.0996981123756199,-0.819568448430378,0.0839414869580758,-0.172601203278736,0.876668757061094,-0.488143903065175
"19",19,"BUCBUC","Bucida buceras",4413,9353,11972,12714,8301,12.2881433502025,NA,2.5041914380205,NA,2.28472492158511,3.36510234465691,1375.31499892924,1178.13615236906,1165.62722366832,1195.81192565243,1.38682765916458,-0.0495522044894605,-0.099661242912716,-0.675906749884256,1.26937469972479,-0.170338781569533,0.73081335417079,-0.491139033442749
"20",20,"BUCTET","Buchenavia tetraphylla",3175,6846,11130,10457,7282,1.04384376723096,NA,0.248936394241085,NA,0.27790293414911,0.243787639503494,1330.42471169807,1178.81323252211,1071.00574385233,1248.94369408877,-0.111622799713442,-0.579632294448756,-0.0969156823254563,1.23896767744526,1.86209130610815,-0.0971746683734597,-1.35616617042728,0.947844285380955
