"sp","total_hab","fcover_51","fcover_77","fcover_91","fcover_00","tot_change"
"MICPRA",24655,2784,7006,10508,10181,7397
"MICRAC",15018,2403,5855,9067,8385,5982
"MICSER",14415,2156,4386,9690,9151,6995
"MICSIN",5268,1584,2449,3823,3443,1859
"MICTET",17955,2683,6459,10490,9781,7098
"MICTHO",12393,925,2526,2956,2854,1929
"MORCIT",13702,934,2258,2316,2340,1406
"MOSXER",3236,604,958,660,819,215
"MOUHEL",559,335,415,432,442,107
"MUNCAL",14634,1049,2079,3032,3313,2264
"MYRAMA",11801,2273,4986,5747,5451,3178
"MYRBOR",6780,945,2343,2497,2944,1999
"MYRCER",27404,5102,9391,13318,12959,7857
"MYRCIT",6001,1070,1818,2100,2287,1217
"MYRCOR",11055,2054,4434,7571,6956,4902
"MYRDEF",13176,2203,5279,7943,7269,5066
"MYRFAL",6926,1689,3048,4517,4095,2406
"MYRFLO",694,28,72,101,149,121
"MYRGUI",12660,1535,2767,3853,3819,2284
"MYRSPL",16191,2367,5570,10099,9434,7067
"NECCOR",25921,4033,8738,9827,10114,6081
"NECKRU",26777,2952,6715,10803,10756,7804
"NECMEM",19740,2601,6450,11221,10800,8199
"NECPAT",13501,2980,4722,4142,4620,1640
"NECTUR",11342,3111,5463,6482,6326,3215
"NEEBUX",12745,2546,4168,3569,4020,1474
"NEORES",13479,2941,4789,4811,5075,2134
"OCHPYR",23910,3134,7754,13684,13089,9955
"OCOCUN",559,335,415,432,442,107
"OCOFLO",32128,5994,12183,17496,17339,11345
"OCOLEU",20451,3438,7149,12885,11996,8558
"OCOSPA",1794,1055,1424,1533,1459,404
"OCOWRI",7199,1386,1948,4058,3888,2502
"ORMKRU",16221,2560,5971,9375,8653,6093
"OSSKRU",12241,1880,3619,8089,7988,6108
"OURLIT",8476,830,2120,2898,2722,1892
"OXALAN",8912,2888,4501,3913,4399,1511
"PALALP",4713,923,1637,3422,3147,2224
"PALCRO",18080,1637,3570,7698,7260,5623
"PALRIP",22973,3054,7439,12693,12176,9122
"PARCRE",4729,868,1719,2895,2731,1863
"PERAME",39651,6002,12132,16706,16987,10985
"PETDOM",20504,3147,6038,8742,9311,6164
"PHIMYR",3763,555,836,923,1055,500
"PHLCOW",9059,1015,1812,2366,2664,1649
"PHYCUN",6264,563,1328,1157,1512,949
"PHYEPI",15836,3218,5201,4289,4860,1642
"PHYJUG",10178,797,1973,1628,1766,969
"PICACU",13397,1416,3535,4529,5070,3654
"PICEXC",37211,5928,11762,15599,15822,9894
"PICPEN",26395,3659,8116,9369,9815,6156
"PILRAC",2108,384,492,514,580,196
"PIMRAC",13317,2724,4547,4916,5229,2505
"PINCAR",24585,3477,8179,14136,13548,10071
"PINCOR",25813,5097,9984,15509,14929,9832
"PIPADU",24882,4771,9414,14673,14113,9342
"PIPAMA",36775,5375,11625,16771,16699,11324
"PIPBLA",20657,3230,6844,12686,11767,8537
"PIPGLA",17899,2910,6010,11389,10771,7861
"PIPHIS",22119,3098,7262,13159,12661,9563
"PIPJAC",28235,4294,8281,9590,10298,6004
"PIPMAR",15410,3285,6974,7756,7754,4469
"PIPUMB",19740,2601,6450,11221,10800,8199
"PISALB",7909,949,1878,1682,2086,1137
"PISCAR",4163,324,626,551,794,470
"PISSUB",32128,5994,12183,17496,17339,11345
"PITDUL",5647,615,1030,666,936,321
"PITUNG",4220,665,1391,1007,1290,625
"PLUALB",20233,2048,4823,6686,7291,5243
"PLUCAR",36187,5372,10849,14483,14861,9489
"PLUOBT",1535,841,1174,1222,1255,414
"PODCOR",11181,1173,1795,1551,1822,649
