;SCIENTIFIC_NAME;TPA;CODE;fcover_51;fcover_00;tot_change
153;Ocotea floribunda;0.460108991;OCOFLO;5977;17356;11379
154;Ocotea leucoxylon;15.8332661;OCOLEU;3433;11995;8562
155;Ocotea wrightii;0.029661574;OCOWRI;1385;3903;2518
156;Ormosia krugii;0.538238361;ORMKRU;2552;8657;6105
157;Palicourea crocea;1.873544582;PALCRO;1636;7255;5619
158;Parathesis crenulata;0.03182659;PARCRE;860;2720;1860
159;Persea americana;0.65471964;PERAME;6016;17047;11031
160;Petitia domingensis;0.952357512;PETDOM;3134;9292;6158
161;Pictetia aculeata;12.75297375;PICACU;1415;5095;3680
162;Picramnia pentandra;1.029163083;PICPEN;3668;9853;6185
163;Pimenta racemosa;3.897562049;PIMRAC;2730;5244;2514
164;Pinus caribaea;0.190959541;PINCAR;3461;13543;10082
165;Piper aduncum;1.579900666;PIPADU;4752;14127;9375
166;Piper blattarum;0.369272193;PIPBLA;3212;11770;8558
167;Pisonia albida;1.905684111;PISALB;953;2114;1161
168;Piscidia carthagenensis;0.061523911;PISCAR;327;806;479
169;Pisonia subcordata;0.865507537;PISSUB;5977;17356;11379
170;Pithecellobium dulce;0.604705213;PITDUL;615;958;343
171;Pithecellobium unguis-cati;13.42517654;PITUNG;664;1304;640
172;Plumeria alba;0.424253089;PLUALB;2057;7313;5256
173;Plumeria obtusa;1.035160123;PLUOBT;836;1261;425
174;Poitea florida;3.511845223;POIFLO;3611;8293;4682
175;Pouteria multiflora;0.148307869;POUMUL;6273;16324;10051
176;Prosopis pallida;9.710865169;PROPAL;1498;3510;2012
177;Prunus myrtifolia;0.369272193;PRUMYR;2150;3254;1104
178;Pseudolmedia spuria;2.733213218;PSESPU;1501;2198;697
179;Psidium guajava;0.795389578;PSIGUA;3062;11265;8203
180;Psychotria berteriana;3.062912015;PSYBER;2165;6942;4777
181;Psychotria grandis;0.369272193;PSYGRA;2926;11248;8322
182;Quararibea turbinata;4.431266312;QUATUR;3485;7929;4444
183;Randia aculeata;6.058511515;RANACU;3042;5738;2696
