"","Species","CODE","WD","THK","LA.wp","SLA.wp","MAXHT","seed_mass"
"198","Pictetia aculeata","PICACU",0.990253994,253.5277778,19.86112488,99.91767447,10,NA
"199","Picramnia pentandra","PICPEN",0.9807088,186.5,161.9744972,124.4783968,8,105.9
"200","Pimenta racemosa","PIMRAC",0.958278813,354.1851852,22.26959603,55.18908896,8,28.01
"201","Pinus caribaea","PINCAR",NA,NA,NA,NA,NA,NA
"202","Piper aduncum","PIPADU",0.548162288,NA,38.55133333,185.006,7,NA
"203","Piper amalago","PIPAMA",NA,150.6111111,56.12189581,271.6523181,5,1.36
"204","Piper blattarum","PIPBLA",0.45785977,183.1759259,47.03291667,270.9554167,2,NA
"205","Pisonia albida","PISALB",0.595706282,270.6666667,26.19749321,109.5637403,3,10.2
"206","Piscidia carthagenensis","PISCAR",NA,NA,NA,NA,NA,NA
"207","Pisonia subcordata","PISSUB",0.521259838,NA,145.34,138.42,17,14
"208","Pithecellobium dulce","PITDUL",NA,NA,NA,NA,NA,NA
"209","Pithecellobium unguis-cati","PITUNG",0.937801719,191.7777778,10.42350886,101.114154,8,88.77
"210","Plumeria alba","PLUALB",0.495394562,470.8,70.72504087,50.55852892,9,26
"211","Plumeria obtusa","PLUOBT",0.532799342,238.7777778,49.96721869,227.0050419,3.5,NA
"212","Podocarpus coriaceus","PODCOR",NA,NA,NA,NA,NA,NA
"213","Poitea florida","POIFLO",0.875470216,202.3888889,7.41175887,126.1967688,14,17
"214","Pouteria multiflora","POUMUL",0.820799137,191.962963,171.3426458,105.6834608,14,16000
"215","Prunus myrtifolia","PRUMYR",0.915410877,161.1944444,22.23997487,143.0545095,8.5,NA
"216","Pseudolmedia spuria","PSESPU",0.690606911,148.962963,41.23085309,170.6363223,19,1700.84
"217","Psychotria brachiata","PSYBRA",0.418549807,262.9111111,75.7,325.123,5,NA
"218","Psychotria grandis","PSYGRA",0.325769462,126.8222222,195.9793802,196.1266613,17,NA
"219","Quararibea turbinata","QUATUR",0.591129426,152.5555555,101.3003715,182.3588953,10,NA
"220","Randia aculeata","RANACU",0.981954371,198.9920635,4.859957305,134.3271019,6.5,NA
"221","Rauvolfia nitida","RAUNIT",0.465,NA,22.81,457.95,7,NA
"222","Reynosia uncinata","REYUNC",1.022220268,305.2222222,1.786479783,52.36390189,NA,NA
"223","Rhizophora mangle","RHIMAN",NA,NA,NA,NA,NA,NA
"224","Rochefortia acanthophora","ROCACA",0.927591145,202.7222222,1.385829067,102.0599372,4,NA
"225","Rondeletia inermis","RONINE",0.778105128,290.3,14.82239832,111.2521323,5,0.0788
"226","Roystonea borinquena","ROYBOR",0.739967091,NA,60383.37667,121.1626667,17,333.33
"227","Samyda dodecandra","SAMDOD",0.8004896,216.8148148,29.9330665,123.39608,6.5,NA
"228","Samanea saman","SAMSAM",NA,NA,NA,NA,NA,NA
"229","Sapium laurocerasus","SAPLAU",0.469707152,271.8730159,74.19376109,277.3738731,24,NA
"230","Sapindus saponaria","SAPSAP",NA,NA,NA,NA,NA,NA
"231","Savia sessiliflora","SAVSES",NA,NA,NA,NA,NA,NA
