"","sp","total_hab_raw","fcover_51_raw","fcover_77_raw","fcover_91_raw","fcover_00_raw","tot_change_raw","total_hab","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","tpa2004","tpa2009","tpa2014","tpa2019","tpa_gs_2004","tpa_gs_2009","tpa_gs_2014","tpa_gs_2019","tpa_diam2_2004","tpa_diam2_2009","tpa_diam2_2014","tpa_diam2_2019","tpa_seedlings_2004","tpa_seedlings_2009","tpa_seedlings_2014","tpa_seedlings_2019","nPlots2004","nPlots2009","nPlots2014","nPlots2019","species","seedmass","ss.guanica","ss.swenson","ss","WD","THK","LA.wp","SLA.wp","MAXHT","ss.log","thk.log","la.log","sla.log","wd.z","ss.log.z","thk.log.z","la.log.z","sla.log.z","maxht.z","ss.log.z_pi","wd.z_pi","thk.log.z_pi","la.log.z_pi","sla.log.z_pi","maxht.z_pi","pca1","pca2","pca1_pi","pca2_pi"
"Avicennia_germinans","AVIGER",20231.3740170649,2197.82352829026,4838.6813287125,6886.90691596176,7123.42946415488,4925.60593586462,20584,1548,3648,5275,5593,4045,3.36649552385424,2.96890608926326,4.02881951357408,7.5776525533242,0.0284905509461046,0.056468466496443,0.0565459211742903,0.0620042773261967,2.30260821757385,0.859743325724455,1.21289453516971,2.14577831985596,8.51109850701,1.75763564566074,87.5464810792884,0.771923148896948,2,1,1,2,"Avicennia_germinans",10120,NA,NA,10120,NA,NA,NA,NA,NA,4.00518051250378,NA,NA,NA,NA,2.06179809951007,NA,NA,NA,NA,2.06179809951007,2.46641310117439,-3.75854756038025,0.107727964835243,4.01717221051263,1.50028240978307,NA,NA,5.53677270221487,-3.27511222294513
"Badiera_penaea","BADPEN",5068.14044366344,941.60546716606,1602.06962282549,2047.28022170228,2144.9331883406,1203.32772117454,5238,896,1473,2168,2268,1372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Badiera_penaea",NA,NA,NA,NA,0.961802083,505.5111111,2.396346125,44.33559746,8,NA,2.70373070579524,0.379549547156758,1.64675256532885,1.41031300546412,NA,2.05291163815019,-2.02642364305694,-2.04725572025762,-0.626678996811836,-0.343071749954571,1.41031300546412,2.05291163815019,-2.02642364305694,-2.04725572025762,-0.626678996811836,NA,NA,-3.48536732617854,-1.73417233714639
"Bixa_orellana","BIXORE",26687.0213461239,4165.59667978063,8415.61446455307,11635.5942254812,11665.9222325813,7500.32555280067,41381,6460,13061,18065,18104,11644,NA,NA,1.05597186690164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Bixa_orellana",25,NA,NA,25,NA,NA,NA,NA,NA,1.39794000867204,NA,NA,NA,NA,-0.347208793064547,NA,NA,NA,NA,-0.347208793064547,-0.480044971061508,-0.300535398691657,0.190272672166478,0.254688351672824,-0.265074641801427,NA,NA,0.291872378865907,0.339405861592941
"Bocconia_frutescens","BOCFRU",23084.7257399918,3058.8052033335,6740.66521759052,10861.5422031302,10723.647781563,7664.84257822949,18972,2386,5435,10264,10256,7870,0.0284905509461046,NA,NA,NA,NA,NA,NA,NA,0.0284905509461046,NA,NA,NA,1.06388731101096,NA,NA,NA,1,NA,NA,NA,"Bocconia_frutescens",17.9147,NA,NA,17.9147,NA,NA,NA,NA,NA,1.25320953985711,NA,NA,NA,NA,-0.480935120355146,NA,NA,NA,NA,-0.480935120355146,-1.23505253284862,0.738938310392675,0.37600064267185,-0.637263214440288,-0.177983683254919,NA,NA,-0.841208956644501,1.32497625258632
"Bonellia_umbellata","BONUMB",14060.7779524345,2845.27231073566,5393.01562339813,7281.43480520137,7394.18870339543,4548.91639265977,2649,877,1325,1152,1268,391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bonellia_umbellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.164206277342345,-0.239153130197326,0.78119347441695,-0.0076020019885246,-0.690497762977457,-0.106048913366204,NA,NA,-1.01172516994292,0.29014472190601
"Bourreria_succulenta","BOUSUC",16810.3404146481,2244.01621584944,4707.56709430325,5270.66496822483,5649.97837590268,3405.96216005324,14567,1745,3502,2640,3235,1490,5.03792430016698,19.154175332445,21.6022055228252,22.5976063937062,NA,NA,NA,NA,1.33096513754371,6.96967688282299,8.08739279928463,7.5166927990261,2.48240372411538,0.703054254512936,82.2451575310972,144.969903806186,6,16,16,13,"Bourreria_succulenta",16.4756,31.5,NA,31.5,0.749497768,281.025641,23.06091297,114.0318324,10,1.4983105537896,2.44874594708223,1.36287649680016,2.0570261031425,0.282352426836837,-0.254469617432561,0.396011519327498,-0.462834820753406,-0.17454626776865,-0.381908967952871,-0.254469617432561,0.282352426836837,0.396011519327498,-0.462834820753406,-0.17454626776865,-0.381908967952871,0.893673812587881,0.126903818804157,-0.677256200832939,-0.450323668047898
"Bourreria_virgata","BOUVIR",11619.3194803172,2185.44845822873,3749.62225966575,3684.45278499555,4043.71392961359,1858.26547138486,12955,2865,4641,3921,4491,1626,1.06388730628038,0.703054254512936,1.05597186690164,1.96081001090547,NA,NA,NA,NA,0.354629102093461,NA,NA,0.0310021386630984,2.1277746267525,NA,0.703981249296475,1.54384630809097,2,1,2,3,"Bourreria_virgata",21.0532,NA,NA,21.0532,0.804041863,290.5555556,10.83866897,80.43109454,15,1.32331811616785,2.4632291838304,1.03497595245359,1.90542397880385,0.572142057146053,-0.416157036663618,0.490124111821684,-0.984229689625314,-0.866540035583529,0.230016104194541,-0.416157036663618,0.572142057146053,0.490124111821684,-0.984229689625314,-0.866540035583529,0.230016104194541,1.52109970121695,-0.322720721028214,-1.19951511806965,-0.868220347461218
"Brunfelsia_americana","BRUAME",26719.9125801921,4320.59392654896,8571.49363017082,11765.334118396,11800.3992083669,7479.80528181791,41940,6794,13476,18497,18545,11751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brunfelsia_americana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.485354981116325,-0.522289917617463,1.21475326436983,0.0855995426670297,-0.345474876999715,-0.766389489244294,NA,NA,-1.2716744559326,0.704362662105831
"NA.3","BRUDEN",13950.399997673,2004.05845804792,4651.69423707109,7838.66430272348,7571.24246880691,5567.184010759,20415,2940,6871,11667,11250,8310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brunfelsia_densifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brunfelsia_lactea","BRULAC",10706.2541797645,1571.52154896362,3620.44140263041,6083.5936097037,5796.49335833173,4224.97180936811,6743,1046,2548,3482,2987,1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brunfelsia_lactea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.59819568629966,-0.633285412465231,1.68675343025872,0.117654182000808,-0.605905841067377,-1.02384349007512,NA,NA,-1.81812348351389,0.936826362136884
