CODE;AI_51;AI_77;AI_91;AI_00
BUXVAH;88.361932747245;83.7806936681602;82.8440556247123;80.9595358541972
BYRCRA;97.8320877785286;97.2520324908964;96.5728101363455;95.7141719075049
BYRLUC;96.4343272479895;94.5997002391486;94.2865288243916;93.1873405766682
BYRSPI;97.413673160707;94.2212205019727;93.4107876454627;93.5021690122411
BYRWAD;97.0958886778267;96.7998934512075;95.9654047947517;95.7297984230707
CALANT;93.7219942449718;90.1717448719947;89.5840178463029;89.3468346491013
CALKRU;97.6695155409322;97.4250640045613;97.056842969784;96.9860798412773
CALPAL;96.4587782458421;94.8461337737066;95.3399898536477;94.8860747037105
CANWIN;97.1507174725655;94.7722571579187;94.7660752689426;93.9615020028481
CAPFRO;98.7682324118697;98.0886282558138;98.3958684369126;97.9600068442288
CASACU;93.0288134245515;89.4200572714501;89.6420111986286;88.2475275893218
CASARB;94.6872570178641;92.4409462057134;90.4019613357342;89.9179112857513
CASDEC;93.4701496003272;89.4851308350426;88.5195215079397;88.4652929944626
CASELA;87.5756599686912;82.8600688994568;82.1306241847266;80.0920139805771
CASEQU;96.7662855981956;95.3256928368927;95.8805607597857;95.3210410669325
CASGUI;92.9695291033949;88.7239334833488;87.4988794422475;87.3729082522237
CASSYL;90.0070978292242;86.2041728556669;84.0120427839124;82.8813172288227
CECSCH;92.8822612189354;90.4992626661461;88.2445261429732;87.1552777963463
CEDODO;87.3896536633466;82.8524778490363;82.2212788725972;80.2476294248595
CEIPEN;92.6972124196189;88.5769243795469;88.3289419907471;87.0251365484371
CELTRI;98.2919962732494;97.3990233750938;97.6252457370417;97.1112023916696
CESCIT;88.7039922854111;84.0669705682419;82.6318093620389;81.0084349986053
CESLAU;90.6420894112861;86.0359865401124;84.7037333215045;83.3728714903421
CESMAC;93.2600385930108;91.8851144922731;90.1555632560489;89.338031635627
CHICOM;94.8016008795756;91.9327790703599;91.9298180513478;91.705190958167
CHIDOM;92.2063861151505;89.2446956703233;88.0352263598988;87.2725299868995
CHIHOL;98.5285369589921;97.8217245919286;98.0289649922315;97.7649972391151
CHIVEN;94.0901746357407;90.6486702386084;90.0885972555081;89.9131466644223
CHRARG;93.3836109534342;89.7677816621278;88.9235877171868;88.8300357237333
CHRCAI;88.4017635020437;83.9038703202839;82.8933716330125;81.1090809929722
CHRICA;96.8450343950675;95.4504110318316;95.1222990977041;94.5112214474766
CHROLI;95.829833041363;93.1225224430452;93.0807980868443;92.0343994293598
CHRPAU;94.8195934558798;91.4443324207536;90.0847466322186;89.5918190615756
CINELO;90.4511767349718;85.8166432972008;83.6598602698666;82.3348417260208
CINMON;92.6304730145846;88.8820718107166;86.684099460696;86.5242558058053
CITCAU;97.2397878313634;95.6519132123418;94.6826116097046;94.7267515985132
CITSIN;96.073262112457;94.359425960063;93.3787390368524;92.7737489187415
CITSPI;92.2510884841615;87.1054751428964;85.5798002603282;84.7993702603983
CLIEGG;95.7881800999393;94.0121891312632;92.4021421592947;91.8910883171433
CLIERO;98.4628929929971;98.5217555933147;98.4206588617167;98.4180040560622
