"","sp","total_hab","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","tpa2004","tpa2009","tpa2014","tpa2019","nPlots2004","nPlots2009","nPlots2014","nPlots2019","species","seedmass","ss.guanica","ss.swenson","ss","WD","THK","LA.wp","SLA.wp","MAXHT","ss.log","thk.log","la.log","sla.log","wd.z","ss.log.z","thk.log.z","la.log.z","sla.log.z","maxht.z","ss.log.z_pi","wd.z_pi","thk.log.z_pi","la.log.z_pi","sla.log.z_pi","maxht.z_pi","pca1","pca2","pca1_pi","pca2_pi"
"Badiera_penaea","BADPEN",2831,681,1072,1768,1772,1091,NA,NA,NA,NA,NA,NA,NA,NA,"Badiera_penaea",NA,NA,NA,NA,0.961802083,505.5111111,2.396346125,44.33559746,8,NA,2.70373070579524,0.379549547156758,1.64675256532885,1.41267061650983,NA,2.06059635249908,-1.96163333861225,-2.05551682262821,-0.625601018074375,-0.337361273967095,1.41267061650983,2.06059635249908,-1.96163333861225,-2.05551682262821,-0.625601018074375,NA,NA,-3.45029208845677,-1.79832670044837
"Bixa_orellana","BIXORE",41381,6461,13066,18062,18111,11650,NA,NA,1.05597186690164,NA,NA,NA,1,NA,"Bixa_orellana",25,NA,NA,25,NA,NA,NA,NA,NA,1.39794000867204,NA,NA,NA,NA,-0.353762958026803,NA,NA,NA,NA,-0.353762958026803,-0.488518470872865,-0.286252946136382,0.164319473303811,0.237482992219848,-0.272393749442357,NA,NA,0.235483565409972,0.343518307880778
"Bocconia_frutescens","BOCFRU",33838,3944,9062,14702,14320,10376,0.0284905509461046,NA,NA,NA,1,NA,NA,NA,"Bocconia_frutescens",17.9147,NA,NA,17.9147,NA,NA,NA,NA,NA,1.25320953985711,NA,NA,NA,NA,-0.487900536532398,NA,NA,NA,NA,-0.487900536532398,-1.15075138327204,0.785000432583739,0.450216238438767,-0.697704808252122,-0.164784273942301,NA,NA,-0.961469879076748,1.28827468746098
"Bonellia_umbellata","BONUMB",4076,971,1610,1422,1596,625,NA,NA,NA,NA,NA,NA,NA,NA,"Bonellia_umbellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.161657309638896,-0.233567964434985,0.782999033741642,-0.0202882176616294,-0.691285242596865,-0.100792655570378,NA,NA,-1.04623770968191,0.2597582166919
"Bourreria_succulenta","BOUSUC",19311,2463,5207,4453,5251,2788,5.03792430016698,19.154175332445,21.6022055228252,22.5976063937062,6,16,16,13,"Bourreria_succulenta",16.4756,31.5,NA,31.5,0.749497768,281.025641,23.06091297,114.0318324,10,1.4983105537896,2.44874594708223,1.36287649680016,2.0570261031425,0.282147896369959,-0.260738579776686,0.400336735805323,-0.462293003609185,-0.183474821880209,-0.382324983596349,-0.260738579776686,0.282147896369959,0.400336735805323,-0.462293003609185,-0.183474821880209,-0.382324983596349,0.875177791889598,0.14453473542187,-0.694172634963859,-0.466659388577368
"Bourreria_virgata","BOUVIR",12924,2860,4643,3906,4484,1624,1.06388730628038,0.703054254512936,1.05597186690164,1.96081001090547,2,1,2,3,"Bourreria_virgata",21.0532,NA,NA,21.0532,0.804041863,290.5555556,10.83866897,80.43109454,15,1.32331811616785,2.4632291838304,1.03497595245359,1.90542397880385,0.572595778444176,-0.422923239520928,0.494640149128437,-0.962263549709397,-0.875221956430942,0.225865102598716,-0.422923239520928,0.572595778444176,0.494640149128437,-0.962263549709397,-0.875221956430942,0.225865102598716,1.49617636787978,-0.296618930364091,-1.19750573560831,-0.880560560073081
"Brunfelsia_americana","BRUAME",41940,6796,13481,18494,18553,11757,NA,NA,NA,NA,NA,NA,NA,NA,"Brunfelsia_americana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.474794920970523,-0.507529335210771,1.21674324391262,0.0806762360957746,-0.341784846957859,-0.74450913438142,NA,NA,-1.30866088765428,0.650086329888556
"NA.3","BRUDEN",20415,2944,6875,11673,11259,8315,NA,NA,NA,NA,NA,NA,NA,NA,"Brunfelsia_densifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brunfelsia_lactea","BRULAC",639,469,542,595,559,90,NA,NA,NA,NA,NA,NA,NA,NA,"Brunfelsia_lactea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.595718766943503,-0.621443164871308,1.69463161625275,0.117429490956706,-0.617331522196837,-0.998751279688586,NA,NA,-1.87571366456314,0.872236844383095
"Bucida_buceras","BUCBUC",32583,4397,9325,11941,12677,8280,11.6379578163351,2.48086105133674,2.24614765973285,3.38830380179333,16,6,8,9,"Bucida_buceras",38,2.9,NA,2.9,0.935231475,247.9583333,10.99841035,91.6496375,25,0.462397997898956,2.39437870849481,1.04132991914801,1.96213075154525,1.27118184822017,-1.22083221402313,0.0463401630162814,-0.952575257777947,-0.616473949273339,1.44224527498885,-1.22083221402313,1.27118184822017,0.0463401630162814,-0.952575257777947,-0.616473949273339,1.44224527498885,1.35317135954705,-0.249267516418453,-0.691021439091364,-1.30254617122341
