"sp","total_hab","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","tpa2004","tpa2009","tpa2014","tpa2019","nPlots2004","nPlots2009","nPlots2014","nPlots2019"
"HEDARB",3416,997,1814,2275,1974,977,NA,NA,NA,NA,NA,NA,NA,NA
"HELJAM",16495,2362,4021,3882,4419,2057,NA,NA,0.703981244601093,1.15788472334542,NA,NA,2,1
"HENFAS",24026,3142,7764,13704,13106,9964,0.0284905509461046,NA,NA,NA,1,NA,NA,NA
"HENMAC",9500,2074,4069,6669,6099,4025,1.94408881614393,1.46257697552232,NA,NA,4,2,NA,NA
"HENSQU",4644,1598,2403,3330,3045,1447,1.94408881614393,2.60186105703638,0.521628385823417,0.478967990437769,7,6,4,2
"HIBELA",29552,3403,7748,12219,12014,8611,0.896834299940215,0.819342315963987,NA,NA,4,1,NA,NA
"HIBTIL",27283,5118,10454,14581,14591,9473,NA,NA,NA,NA,NA,NA,NA,NA
"HIECLU",37770,6263,12177,16031,16264,10001,NA,NA,NA,NA,NA,NA,NA,NA
"HIPMAN",9616,1495,2781,3776,4070,2575,NA,NA,0.351990622300547,0.771923148896948,NA,NA,1,1
"HIRRUG",10979,2190,4719,7382,6670,4480,0.709258204186922,0.703054254512936,0.703981244601093,NA,1,1,1,NA
"HIRTRI",33838,3944,9062,14702,14320,10376,0.856485988124671,NA,NA,NA,1,NA,NA,NA
"HOMRAC",12542,1745,4854,6547,5998,4253,5.5344543006563,3.41785224454221,4.67625483700088,4.67960726021659,12,9,13,11
"HURCRE",17497,2011,4271,8238,8343,6332,0.0569811018922092,NA,NA,0.0310021386630984,2,NA,NA,1
"HYMCOU",19604,1625,4479,6952,7234,5609,2.68675861116023,3.13501909758873,2.84194971167065,0.988252316804302,5,5,5,6
"HYPTRI",1493,446,684,501,574,128,NA,NA,NA,NA,NA,NA,NA,NA
"ILENIT",4142,1447,1792,3399,3303,1856,0.709258204186922,0.703054254512936,1.40796248920219,1.5438462977939,2,2,3,3
"ILESID",25279,3505,8251,14237,13697,10192,NA,NA,0.351990622300547,NA,NA,NA,1,NA
"ILEURB",8102,2852,4419,3792,4233,1381,NA,NA,NA,NA,NA,NA,NA,NA
"INDSUF",14889,1613,2767,2680,3041,1428,NA,NA,NA,NA,NA,NA,NA,NA
"INGLAU",18042,2439,6020,10920,10376,7937,7.15442519456247,6.36951197427691,7.40125782024458,6.2849853203688,34,38,40,36
"INGVER",22422,2826,7242,12895,12503,9677,13.3472267255271,13.5809417521548,9.86662942063838,9.40900996162673,36,47,51,45
"IXOFER",18966,3183,6535,7095,6923,3740,1.12086840817259,0.056468466496443,0.436809504061982,0.92693384221244,3,1,2,2
"JACARB",5761,633,1118,675,968,335,NA,NA,NA,NA,NA,NA,NA,NA
"JACBER",4810,730,1282,980,1213,483,NA,NA,NA,NA,NA,NA,NA,NA
"JATGOS",8869,795,1313,1382,1658,863,NA,NA,NA,NA,NA,NA,NA,NA
"JATHER",28166,4047,7618,9159,9722,5675,NA,NA,NA,NA,NA,NA,NA,NA
"KOAPOL",34397,4279,9477,15134,14762,10483,NA,NA,NA,NA,NA,NA,NA,NA
"KRUFER",15118,2221,4091,3185,3933,1712,1.41851640837385,4.92137978159055,5.2798593345082,7.75023362763258,2,5,5,7
"LAEPRO",23910,3134,7754,13684,13089,9955,0.462621388549598,NA,NA,0.0310021386630984,1,NA,NA,1
"LAGRAC",11979,1006,1672,1484,1717,711,2.98249114094391,2.86868548454819,2.36046245295317,0.92693384221244,2,1,2,1
"LANCAM",16200,1593,3447,3052,3727,2134,NA,NA,NA,NA,NA,NA,NA,NA
"LANINV",17186,1665,3507,4447,5010,3345,NA,NA,NA,NA,NA,NA,NA,NA
"LEULEU",17190,1775,3625,4175,4829,3054,61.5991096925403,76.9856170315707,68.4852449039315,49.1863202669683,29,29,32,26
"LICBRI",559,335,415,432,442,107,NA,NA,NA,0.385961574448474,NA,NA,NA,1
"LICPAR",20644,3193,5737,5421,5965,2772,1.91559826519783,2.60353662126547,4.48266769451773,4.09727306389556,5,4,6,5
"LONGLA",3787,1391,2122,1763,2026,635,1.80163606141341,0.0282342332482215,0.732254205188238,0.802925287560046,3,1,2,2
"LONHEP",27958,5461,10879,15033,15050,9589,NA,NA,0.311002566458597,0.279019247967885,NA,NA,1,1
"LONSER",17914,3654,5717,4790,5447,1793,0.0628689454333669,0.0282342332482215,0.0282729605871451,0.802925287560046,2,1,1,2
"LYOSTA",15432,1877,4598,7114,6844,4967,NA,NA,NA,NA,NA,NA,NA,NA
