CN,STATECD,SUBP,SUBPTYP,PLT_CN,CONDID,PREV_PLT_CN,PREVCOND,SUBPTYP_PROP_CHNG,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE
809322698290487,72,2,2,480540217489998,1,197190627020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322699290487,72,3,2,480540217489998,1,197190627020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322700290487,72,4,2,480540217489998,1,197190627020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322701290487,72,1,1,480540218489998,1,197190699020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322702290487,72,2,1,480540218489998,1,197190699020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322703290487,72,3,1,480540218489998,1,197190699020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322704290487,72,4,1,480540218489998,1,197190699020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322705290487,72,1,2,480540218489998,1,197190699020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322706290487,72,2,2,480540218489998,1,197190699020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322707290487,72,3,2,480540218489998,1,197190699020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322708290487,72,4,2,480540218489998,1,197190699020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322709290487,72,1,1,480540219489998,1,197190732020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322710290487,72,2,1,480540219489998,1,197190732020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322711290487,72,3,1,480540219489998,1,197190732020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322712290487,72,4,1,480540219489998,1,197190732020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322713290487,72,1,2,480540219489998,1,197190732020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322714290487,72,2,2,480540219489998,1,197190732020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322715290487,72,3,2,480540219489998,1,197190732020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322716290487,72,4,2,480540219489998,1,197190732020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322717290487,72,1,1,480540220489998,1,197190582020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322718290487,72,2,1,480540220489998,1,197190582020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322719290487,72,3,1,480540220489998,1,197190582020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322720290487,72,4,1,480540220489998,1,197190582020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322721290487,72,1,2,480540220489998,1,197190582020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322722290487,72,2,2,480540220489998,1,197190582020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322723290487,72,3,2,480540220489998,1,197190582020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322724290487,72,4,2,480540220489998,1,197190582020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322725290487,72,1,1,480540221489998,1,197190594020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322726290487,72,2,1,480540221489998,1,197190594020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322727290487,72,3,1,480540221489998,1,197190594020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322728290487,72,4,1,480540221489998,1,197190594020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322729290487,72,1,2,480540221489998,1,197190594020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322730290487,72,2,2,480540221489998,1,197190594020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322731290487,72,3,2,480540221489998,1,197190594020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322732290487,72,4,2,480540221489998,1,197190594020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322733290487,72,1,1,480540222489998,1,197190760020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322734290487,72,2,1,480540222489998,1,197190760020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322735290487,72,3,1,480540222489998,2,197190760020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809322736290487,72,4,1,480540222489998,1,197190760020004,1,1.0,FSJMCHAN,2020-12-09 08:26:46,290487,,,
809329480290487,72,2,1,548974616126144,1,219013623020004,1,1.0,FSJMCHAN,2020-12-09 08:30:24,290487,,,
809329481290487,72,3,1,548974616126144,1,219013623020004,1,1.0,FSJMCHAN,2020-12-09 08:30:24,290487,,,
809329482290487,72,4,1,548974616126144,1,219013623020004,1,1.0,FSJMCHAN,2020-12-09 08:30:24,290487,,,
809329483290487,72,1,2,548974616126144,1,219013623020004,1,1.0,FSJMCHAN,2020-12-09 08:30:24,290487,,,
809329484290487,72,2,2,548974616126144,1,219013623020004,1,1.0,FSJMCHAN,2020-12-09 08:30:24,290487,,,
809329485290487,72,3,2,548974616126144,1,219013623020004,1,1.0,FSJMCHAN,2020-12-09 08:30:24,290487,,,
809329486290487,72,4,2,548974616126144,1,219013623020004,1,1.0,FSJMCHAN,2020-12-09 08:30:24,290487,,,
809329487290487,72,1,1,548974617126144,1,219013624020004,1,1.0,FSJMCHAN,2020-12-09 08:30:24,290487,,,
809329488290487,72,2,1,548974617126144,1,219013624020004,1,1.0,FSJMCHAN,2020-12-09 08:30:24,290487,,,
809329489290487,72,3,1,548974617126144,1,219013624020004,1,1.0,FSJMCHAN,2020-12-09 08:30:24,290487,,,
809670479290487,72,3,2,480540108489998,1,197190393020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670480290487,72,4,2,480540108489998,1,197190393020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670482290487,72,1,1,480540109489998,1,197190404020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670483290487,72,2,1,480540109489998,1,197190404020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670484290487,72,3,1,480540109489998,1,197190404020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670485290487,72,4,1,480540109489998,1,197190404020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670486290487,72,1,2,480540109489998,1,197190404020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670487290487,72,2,2,480540109489998,1,197190404020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670488290487,72,3,2,480540109489998,1,197190404020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670489290487,72,4,2,480540109489998,1,197190404020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670491290487,72,1,1,480540110489998,1,197190424020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670492290487,72,2,1,480540110489998,1,197190424020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670493290487,72,3,1,480540110489998,1,197190424020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670494290487,72,4,1,480540110489998,1,197190424020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670495290487,72,1,2,480540110489998,1,197190424020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670496290487,72,2,2,480540110489998,1,197190424020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670497290487,72,3,2,480540110489998,1,197190424020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670498290487,72,4,2,480540110489998,1,197190424020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670500290487,72,1,1,480540111489998,1,197190447020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670501290487,72,2,1,480540111489998,1,197190447020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670502290487,72,3,1,480540111489998,1,197190447020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670503290487,72,4,1,480540111489998,1,197190447020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670504290487,72,1,2,480540111489998,1,197190447020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670505290487,72,2,2,480540111489998,1,197190447020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670506290487,72,3,2,480540111489998,1,197190447020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670507290487,72,4,2,480540111489998,1,197190447020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670509290487,72,1,1,480540034489998,1,197190398020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670510290487,72,2,1,480540034489998,1,197190398020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670511290487,72,3,1,480540034489998,1,197190398020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
